StdInChIKey,SMILES,Dataset1,LogS1,T1,Dataset2,LogS2,T2,Dataset3,LogS3,T3,N_datapoints,SD_error,Error_note,Pred_comment,LogS Changed?,LogS_mean,LogS_median
BCEQKAQCUWUNML-UHFFFAOYSA-N,c1cc(c(cc1C(=O)O)C(=O)O)O,Aq_Sol_DB,-1.78,,,,,,,,1,,,,,-1.78,-1.78
BCGWQEUPMDMJNV-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccccc12,Aq_Sol_DB,-4.187,,ons_water,-4.19,,,,,2,,,,,-4.1885,-4.1885
BCHOKJRLDTXCSF-UHFFFAOYSA-N,CCOC(=O)C(C)OC(=O)C,Aq_Sol_DB,-0.6994,,,,,,,,1,,,,,-0.6994,-0.6994
BCINCJSHDIKDTH-UHFFFAOYSA-N,Cc1ccccc1N(C(=O)c1cccc(c1)F)O,Aq_Sol_DB,-2.53,,reaxys_water,-2.532281832,25,ons_water,-2.532,,3,0.001244065,,,,-2.531427277,-2.532
BCKHIISQSLMSEW-UHFFFAOYSA-N,C(CCOc1ccc(cc1)C(=O)O)CO,reaxys_water,-2.498568856,22,,,,,,,1,,,,,-2.498568856,-2.498568856
BCLOBWIFURSERL-UHFFFAOYSA-N,c1cc(cc(c1)S(=O)(=O)CCOS(=O)(=O)O)N,Aq_Sol_DB,-1.423880849,,,,,,,,1,,,,,-1.423880849,-1.423880849
BCMCBBGGLRIHSE-UHFFFAOYSA-N,c1ccc2c(c1)nco2,ons_water,-1.16,,Aq_Sol_DB,-1.1548,,,,,2,,,,,-1.1574,-1.1574
BCNWJNNKUUMDHS-UHFFFAOYSA-N,c1ccc(cc1)C(=O)OCC(=O)N1CCCCC1,Aq_Sol_DB,-2.5011,,,,,,,,1,,,,,-2.5011,-2.5011
BCOXBEHFBZOJJZ-ARJAWSKDSA-N,CCC=CCCOC(=O)c1ccccc1,Aq_Sol_DB,-3.704897417,,,,,,,,1,,,,,-3.704897417,-3.704897417
BCPQALWAROJVLE-UHFFFAOYSA-N,c1cc(ccc1Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])O,Aq_Sol_DB,-5.444,,,,,,,,1,,,,,-5.444,-5.444
BCQKJGFEDOLLJL-XNWCZRBMSA-N,CC(C(C(C(C=NNC(=O)N)O)O)O)O,ons_water,-0.695,,,,,,,,1,,,,,-0.695,-0.695
BCQMBFHBDZVHKU-UHFFFAOYSA-N,CCNc1nc(nc(n1)OC)NC(C)(C)C,Aq_Sol_DB,-3.2388,,,,,,,,1,,,,,-3.2388,-3.2388
BCQZXOMGPXTTIC-UHFFFAOYSA-N,C(C(F)(F)F)(Br)Cl,Aq_Sol_DB,-1.7043,,,,,,,,1,,,,,-1.7043,-1.7043
BCRFZPDVKWMBPB-HNNXBMFYSA-N,c1cc(ccc1COC1Cn2cc(nc2OC1)N(=O)=O)c1ccc(F)nc1,reaxys_water,-4.614358113,20,,,,,,,1,,,,,-4.614358113,-4.614358113
BCTQJXQXJVLSIG-UHFFFAOYSA-N,CC(C)Oc1cccc(c1)NC(=O)c1ccccc1C,Aq_Sol_DB,-4.3265,,,,,,,,1,,,,,-4.3265,-4.3265
BCUDENMQYSKCLW-UHFFFAOYSA-N,CCOC(=O)Cc1c(C)nc(NS(=O)(=O)c2ccc(cc2)N)s1,ons_water,-2.877,,Aq_Sol_DB,-2.88,,reaxys_water,-2.87682308,20,3,0.001785316,,,,-2.877941027,-2.877
BCUWMWRGIOYNAU-UHFFFAOYSA-N,CCSC(CCC(C(=O)O)SCC)C(=O)O,ons_water,-1.357,,reaxys_water,-1.895306807,25,Aq_Sol_DB,-1.36,,3,0.309929184,,,,-1.537435602,-1.36
BCVUYVOMXUKYFC-UHFFFAOYSA-N,c1c(=O)[nH]c2c(c(=O)[nH]c(=O)[nH]2)n1,Aq_Sol_DB,-3.34,,,,,,,,1,,,,,-3.34,-3.34
BCXKOIICQXXQJZ-UHFFFAOYSA-N,CCCC(=O)OCn1cnc2c1c(=O)n(C)c(=O)n2C,Aq_Sol_DB,-1.86,,,,,,,,1,,,,,-1.86,-1.86
BCXSVFBDMPSKPT-UHFFFAOYSA-N,c1cc2c(cc1N)[nH]c(=O)[nH]2,Aq_Sol_DB,-2.334782902,,,,,,,,1,,,,,-2.334782902,-2.334782902
BCYAWRXPCQIOGL-UHFFFAOYSA-N,CCCCCC(C(=O)NC(=O)N)Br,reaxys_water,-3.223795232,20,,,,,,,1,,,,,-3.223795232,-3.223795232
BDAGIHXWWSANSR-UHFFFAOYSA-N,C(=O)O,Aq_Sol_DB,1.175855294,,,,,,,,1,,,,,1.175855294,1.175855294
BDBPZXBDVLFNNW-AWEZNQCLSA-N,c1cc(COC2Cn3cc(nc3OC2)N(=O)=O)ncc1c1ccc(c(c1)Cl)OC(F)(F)F,reaxys_water,-5.743410149,20,,,,,,,1,,,,,-5.743410149,-5.743410149
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,ons_water,0.62,,Aq_Sol_DB,0.62,,,,,2,,,,,0.62,0.62
BDFZFGDTHFGWRQ-UHFFFAOYSA-N,c1cc(cc(c1)N=Nc1ccc(cc1N)N)N=Nc1ccc(cc1N)N,Aq_Sol_DB,-4.197152695,,,,,,,,1,,,,,-4.197152695,-4.197152695
BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O,reaxys_water,-2.128546963,23,Aq_Sol_DB,-1.894461449,,,,,2,,,,,-2.011504206,-2.011504206
BDJSOPWXYLFTNW-UHFFFAOYSA-N,COCCC(=O)OC,Aq_Sol_DB,0.802693707,,,,,,,,1,,,,,0.802693707,0.802693707
BDKDHWOPFRTWPP-UHFFFAOYSA-N,C=CCOCC(CC)(CO)COCC=C,Aq_Sol_DB,-1.718248447,,,,,,,,1,,,,,-1.718248447,-1.718248447
BDLQXDUSRMYDNS-UHFFFAOYSA-N,Cc1coc2cc3c(cc12)cc(c(=O)o3)OC,ons_water,-5,,Aq_Sol_DB,-5,,reaxys_water,-5.000415214,25,3,0.000239724,,,,-5.000138405,-5
BDLSLORLEPSOGW-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)Nc1nnc(s1)S(=O)(=O)N,Aq_Sol_DB,-1.5,,,,,,,,1,,,,,-1.5,-1.5
BDOLQESNFGCNSC-UHFFFAOYSA-N,c1ccc(cc1)[I](=O)=O,Aq_Sol_DB,-1.8416,,reaxys_water,-1.8415774,25,,,,2,,,,,-1.8415887,-1.8415887
BDQJEJZWJJUQGU-UHFFFAOYSA-N,C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])Cl,Aq_Sol_DB,-0.2586,,,,,,,,1,,,,,-0.2586,-0.2586
BDQWWOHKFDSADC-UHFFFAOYSA-N,Cc1c(ccc(c1Cl)OC(C)C(=O)Nc1ccccc1)Cl,Aq_Sol_DB,-7.0057,,,,,,,,1,,,,,-7.0057,-7.0057
BDYUSDIJIDGWCY-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)N(C)C,Aq_Sol_DB,-3.909307051,,,,,,,,1,,,,,-3.909307051,-3.909307051
BEAIFTYZNCUJAW-UHFFFAOYSA-N,C1S(=O)CS(=O)CS1=O,reaxys_water,-2.143054437,25,,,,,,,1,,,,,-2.143054437,-2.143054437
BEARMGATPGLSKG-UHFFFAOYSA-N,C=CC(C)CCCC(C)(C)OC(=O)C,Aq_Sol_DB,-4.030164126,,,,,,,,1,,,,,-4.030164126,-4.030164126
BEDSSMLTGHXPRU-UHFFFAOYSA-N,CCCCNc1c(c(C#N)nn1c1c(cc(cc1Cl)C(F)(F)F)Cl)S(=O)C(F)(F)F,reaxys_water,-5.51698464,25,,,,,,,1,,,,,-5.51698464,-5.51698464
BEJNERDRQOWKJM-UHFFFAOYSA-N,c1c(CO)occ(c1=O)O,reaxys_water,-0.714877133,25,,,,,,,1,,,,,-0.714877133,-0.714877133
BEKZHETVNVFYCV-UHFFFAOYSA-N,c1cc2cc(cc(c2c(c1)N(=O)=O)N(=O)=O)N(=O)=O,reaxys_water,-4.164957274,15,,,,,,,1,,,,,-4.164957274,-4.164957274
BELBBZDIHDAJOR-UHFFFAOYSA-N,c1ccc2c(c1)C(c1ccc(cc1)O)(c1ccc(cc1)O)OS2(=O)=O,ons_water,-3.072,,Aq_Sol_DB,-3.07,,,,,2,,,,,-3.071,-3.071
BELKVKMBIAENSA-UHFFFAOYSA-N,c1cc(cc2c1COC2=O)Br,Aq_Sol_DB,-2.6472,,reaxys_water,-2.64719953,25,,,,2,,,,,-2.647199765,-2.647199765
BEPAFCGSDWSTEL-UHFFFAOYSA-N,COC(=O)CC(=O)OC,Aq_Sol_DB,0.027341968,,,,,,,,1,,,,,0.027341968,0.027341968
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,c1ccc(cc1)P(=O)(c1ccccc1)O,reaxys_water,-2.556664262,29.98,,,,,,,1,,,,,-2.556664262,-2.556664262
BERFDQAMXIBOHM-UHFFFAOYSA-N,CCOc1ccc(cc1OC)C=O,Aq_Sol_DB,-2.1913,,,,,,,,1,,,,,-2.1913,-2.1913
BEYOBVMPDRKTNR-UHFFFAOYSA-N,c1ccc(cc1)N=Nc1ccc(cc1)O,reaxys_water,-3.944973717,25,ons_water,-3.945,,Aq_Sol_DB,-3.95,,3,0.002894368,,,,-3.946657906,-3.945
BEZDDPMMPIDMGJ-UHFFFAOYSA-N,Cc1cc(C)c(C)c(C)c1C,Aq_Sol_DB,-3.9807,,,,,,,,1,,,,,-3.9807,-3.9807
BFABOEKGZASJFN-UHFFFAOYSA-N,CC(C)(C)C(=O)OCn1cnc2c1c(=O)n(C)c(=O)n2C,Aq_Sol_DB,-2.17,,,,,,,,1,,,,,-2.17,-2.17
BFASOGCHMDYMBM-UHFFFAOYSA-N,CC(=O)Oc1ccc(cc1)C(=O)N,Aq_Sol_DB,-1.64,,,,,,,,1,,,,,-1.64,-1.64
BFCFYVKQTRLZHA-UHFFFAOYSA-N,c1ccc(c(c1)Cl)[N+](=O)[O-],Aq_Sol_DB,-2.563966491,,ons_water,-2.55,,,,,2,,,,,-2.556983246,-2.556983246
BFDMEODWJJUORJ-UHFFFAOYSA-N,CN(C)C(P(=O)(O)O)P(=O)(O)O,reaxys_water,-0.406086439,20,,,,,,,1,,,,,-0.406086439,-0.406086439
BFEJTCHFLJECJN-UHFFFAOYSA-N,c1cc2c(c(c1)Cl)[nH]c1cc3c(cc1c2=O)[nH]c1c(cccc1Cl)c3=O,Aq_Sol_DB,-6.457321758,,,,,,,,1,,,,,-6.457321758,-6.457321758
BFENJCKAYWGGGH-HNNXBMFYSA-N,c1cc(ccc1COC1Cn2cc(nc2OC1)N(=O)=O)c1ccc(cn1)F,reaxys_water,-3.335604512,20,,,,,,,1,,,,,-3.335604512,-3.335604512
BFESKOTYBVOOQX-UHFFFAOYSA-N,COP(=O)(OC)OC1=C(CC2C=CC12)Cl,Aq_Sol_DB,-2.0566,,,,,,,,1,,,,,-2.0566,-2.0566
BFIAIMMAHAIVFT-UHFFFAOYSA-N,CCC(CN(CC(CC)O)CC(CC)O)O,Aq_Sol_DB,-0.5229,,,,,,,,1,,,,,-0.5229,-0.5229
BFKJFAAPBSQJPD-UHFFFAOYSA-N,C(=C(F)F)(F)F,reaxys_water,-5.545834586,24.99,Aq_Sol_DB,-2.8001,,,,,2,,,,,-4.172967293,-4.172967293
BFPYWIDHMRZLRN-SLHNCBLASA-N,C#CC1(CCC2C3CCc4cc(ccc4C3CCC12C)O)O,reaxys_water,-4.980529692,23,Aq_Sol_DB,-4.4192,,,,,2,,,,,-4.699864846,-4.699864846
BFSMULOSYIQCGJ-UHFFFAOYSA-N,c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)O,Aq_Sol_DB,-4.07,,ons_water,-4.066,,,,,2,,Reaxys removed,,,-4.068,-4.068
BFSVOASYOCHEOV-UHFFFAOYSA-N,CCN(CC)CCO,Aq_Sol_DB,0.9311,,,,,,,,1,,,,,0.9311,0.9311
BFVHBHKMLIBQNN-UHFFFAOYSA-N,CC(=O)CC(=O)Nc1ccccc1Cl,Aq_Sol_DB,-2.406536077,,,,,,,,1,,,,,-2.406536077,-2.406536077
BFWXQSLJSDLIAA-UHFFFAOYSA-N,CC1CC2C(C(C)C(=O)O2)C(C2=C(C)C(=O)CC12)O,Aq_Sol_DB,-1.95,,ons_water,-1.945,,,,,2,,,,,-1.9475,-1.9475
BFZHCUBIASXHPK-ODYOLWGQSA-N,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(CC12C)O,Aq_Sol_DB,-3.8202,,,,,,,,1,,,,,-3.8202,-3.8202
BGAUMHAIAGXEFB-QUBYGPBYSA-N,CC1(C)CC(C)(CC1C(=O)O)C(=O)O,reaxys_water,-2.046267487,25,,,,,,,1,,,,,-2.046267487,-2.046267487
BGDKAVGWHJFAGW-UHFFFAOYSA-N,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,Aq_Sol_DB,-1.7,,,,,,,,1,,,,,-1.7,-1.7
BGEBZHIAGXMEMV-UHFFFAOYSA-N,COc1c2ccc(=O)oc2cc2c1cco2,reaxys_water,-7.000387877,25,Aq_Sol_DB,-3.6,,,,,2,,,,,-5.300193939,-5.300193939
BGFBWRWYROQISE-UHFFFAOYSA-N,CCC1(CO)COCOC1,Aq_Sol_DB,0.835094217,,,,,,,,1,,,,,0.835094217,0.835094217
BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,Aq_Sol_DB,-7.456,,ons_water,-7.959992,,,,,2,,,,,-7.707996,-7.707996
BGJSXRVXTHVRSN-UHFFFAOYSA-N,C1OCOCO1,Aq_Sol_DB,0.371717126,,,,,,,,1,,,,,0.371717126,0.371717126
BGKAKRUFBSTALK-UHFFFAOYSA-N,CC(C)C(=O)Oc1ccc(cc1OC)C=O,Aq_Sol_DB,-2.588667606,,,,,,,,1,,,,,-2.588667606,-2.588667606
BGKHKLQQDSYPJE-UHFFFAOYSA-N,C(CCCCCC(O)(P(=O)(O)O)P(=O)(O)O)CCCCCN,reaxys_water,-4.080761131,21,,,,,,,1,,,,,-4.080761131,-4.080761131
BGKIECJVXXHLDP-UHFFFAOYSA-N,c1cc(c(c(c1Cl)Cl)Cl)[N+](=O)[O-],Aq_Sol_DB,-3.94,,,,,,,,1,,,,,-3.94,-3.94
BGLZECVIKIGPIF-UHFFFAOYSA-N,c1ccc(cc1)NC(=O)Nc1ccccc1NS(=O)(=O)c1ccccc1,Aq_Sol_DB,-4.578402879,,,,,,,,1,,,,,-4.578402879,-4.578402879
BGNCCUHEGHNNAP-UHFFFAOYSA-N,C1CS(=O)(=O)c2c(cc(s2)S(=O)(=O)N)C1=O,reaxys_water,-3.017858457,25,Aq_Sol_DB,-3.02,,ons_water,-3.018,,3,0.001197653,,,,-3.018619486,-3.018
BGNGWHSBYQYVRX-UHFFFAOYSA-N,CN(C)c1ccc(cc1)C=O,Aq_Sol_DB,-2.28276885,,,,,,,,1,,,,,-2.28276885,-2.28276885
BGNHXVMZTVHITP-UHFFFAOYSA-N,CC(=O)OCn1cnc2c1ncnc2SCOC(=O)C,reaxys_water,-2.541302317,23,Aq_Sol_DB,-2.54,,,,,2,,,,,-2.540651159,-2.540651159
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(cc(n1)OC)OC,reaxys_water,-4.456050696,20,Aq_Sol_DB,-4.4561,,,,,2,,,,,-4.456075348,-4.456075348
BGNXCDMCOKJUMV-UHFFFAOYSA-N,CC(C)(C)c1cc(ccc1O)O,Aq_Sol_DB,-1.220683278,,reaxys_water,-1.616457225,25,,,,2,,,,,-1.418570252,-1.418570252
BGOFCVIGEYGEOF-UJPOAAIJSA-N,c1ccc(c(c1)C=O)OC1C(C(C(C(CO)O1)O)O)O,Aq_Sol_DB,-1.1985,,,,,,,,1,,,,,-1.1985,-1.1985
BGPZYJSOTDBJMV-UHFFFAOYSA-N,CCCc1[nH]c(c(C(=O)O)n1)C(=O)O,reaxys_water,-2.189845472,15,,,,,,,1,,,,,-2.189845472,-2.189845472
BGRDGMRNKXEXQD-UHFFFAOYSA-N,c1cc(=O)[nH][nH]c1=O,Aq_Sol_DB,-1.2714,,,,,,,,1,,,,,-1.2714,-1.2714
BGRJTUBHPOOWDU-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(=O)(=O)N,Aq_Sol_DB,-2.88,,,,,,,,1,,,,,-2.88,-2.88
BGRKGHSKCFAPCL-UHFFFAOYSA-N,CCC(C)(C)c1ccccc1O,Aq_Sol_DB,-2.49122422,,,,,,,,1,,,,,-2.49122422,-2.49122422
BGRWYDHXPHLNKA-UHFFFAOYSA-N,CC(=O)N(CCN(C(=O)C)C(=O)C)C(=O)C,Aq_Sol_DB,-2.279225735,,reaxys_water,-2.409016974,20,,,,2,,,,,-2.344121355,-2.344121355
BGTOWKSIORTVQH-UHFFFAOYSA-N,C1CCC(=O)C1,Aq_Sol_DB,0.553677557,,,,,,,,1,,,,,0.553677557,0.553677557
BGYWREQPNRIVGY-YLFCFFPRSA-N,CCCCCCCCCCCOC(=O)N=CC(C(C(C(CO)O)O)O)O,reaxys_water,-3.673801658,20,,,,,,,1,,,,,-3.673801658,-3.673801658
BHAAPTBBJKJZER-UHFFFAOYSA-N,COc1ccc(cc1)N,Aq_Sol_DB,-0.748029368,,,,,,,,1,,,,,-0.748029368,-0.748029368
BHBPVVOUUXIZBX-UHFFFAOYSA-N,C(CO)CSc1ccc(cc1)S(=O)(=O)N,Aq_Sol_DB,-2.2472,,,,,,,,1,,,,,-2.2472,-2.2472
BHELZAPQIKSEDF-UHFFFAOYSA-N,C=CCBr,Aq_Sol_DB,-1.4995,,,,,,,,1,,,,,-1.4995,-1.4995
BHHGXPLMPWCGHP-UHFFFAOYSA-N,c1ccc(cc1)CCN,Aq_Sol_DB,-0.28238117,,,,,,,,1,,,,,-0.28238117,-0.28238117
BHJCMMGUFRZLKK-UHFFFAOYSA-N,c1c(c(cc(c1Cl)Oc1c(c(cc(c1Cl)Cl)Cl)Cl)Cl)Cl,ons_water,-9.050122,,Aq_Sol_DB,-9.05,,,,,2,,,,,-9.050061,-9.050061
BHNZEZWIUMJCGF-UHFFFAOYSA-N,CC(Cl)(F)F,Aq_Sol_DB,-1.723390854,,,,,,,,1,,,,,-1.723390854,-1.723390854
BHQBQWOZHYUVTL-UHFFFAOYSA-N,CC(C)CCOCCc1ccccc1,Aq_Sol_DB,-3.933735783,,,,,,,,1,,,,,-3.933735783,-3.933735783
BHQCQFFYRZLCQQ-UTLSPDKDSA-N,CC(CCC(=O)O)C1CCC2C3C(CC(C12C)O)C1(C)CCC(CC1CC3O)O,reaxys_water,-2.777491666,25,,,,,,,1,,,,,-2.777491666,-2.777491666
BHQZSXXOSYWJSZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCOCCCN(C)C,Aq_Sol_DB,-6.85205403,,,,,,,,1,,,,,-6.85205403,-6.85205403
BHRZNVHARXXAHW-UHFFFAOYSA-N,CCC(C)N,Aq_Sol_DB,0.1851,,,,,,,,1,,,,,0.1851,0.1851
BHTKPRRBITUJME-UHFFFAOYSA-N,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)Nc1nnc(s1)S(=O)(=O)N,Aq_Sol_DB,-2.91,,,,,,,,1,,,,,-2.91,-2.91
BHUXAQIVYLDUQV-UHFFFAOYSA-N,CCN(CC)CC(C)O,Aq_Sol_DB,0.102111364,,,,,,,,1,,,,,0.102111364,0.102111364
BHWSXXQMNXTLNM-UHFFFAOYSA-N,CC(C)C(=O)OCC(CO)OCn1cnc2c(F)nc(N)nc12,reaxys_water,-1.759091053,25,,,,,,,1,,,,,-1.759091053,-1.759091053
BHWVLZJTVIYLIV-UHFFFAOYSA-N,c1cc(ccc1c1cc(c(c(c1)Cl)Cl)Cl)Cl,reaxys_water,-8.465370953,20,Aq_Sol_DB,-7.96,,,,,2,,,,,-8.212685477,-8.212685477
BHXIWUJLHYHGSJ-UHFFFAOYSA-N,CCOCCC(=O)OCC,Aq_Sol_DB,-0.431708518,,,,,,,,1,,,,,-0.431708518,-0.431708518
BIDDLDNGQCUOJQ-SDNWHVSQSA-N,c1ccc(cc1)C=C(c1ccccc1)C(=O)O,reaxys_water,-1.537836525,16,,,,,,,1,,,,,-1.537836525,-1.537836525
BIGRRCHSUAXSEE-UHFFFAOYSA-N,Cc1ncc2c(nccn2)n1,ons_water,-0.12,,Aq_Sol_DB,-0.1191,,,,,2,,,,,-0.11955,-0.11955
BIGYLAKFCGVRAN-UHFFFAOYSA-N,c1(=S)[nH][nH]c(=S)s1,Aq_Sol_DB,-0.7552,,,,,,,,1,,,,,-0.7552,-0.7552
BIISIZOQPWZPPS-UHFFFAOYSA-N,CC(C)(C)OOC(C)(C)c1ccccc1,Aq_Sol_DB,-4.29093415,,,,,,,,1,,,,,-4.29093415,-4.29093415
BIIVYFLTOXDAOV-UHFFFAOYSA-N,CN1CCC(C(C1)O)c1c(cc(c2c(=O)cc(c3ccccc3Cl)oc12)O)O,Aq_Sol_DB,-4.26,,,,,,,,1,,,,,-4.26,-4.26
BIJOTHRFGRTFPM-UHFFFAOYSA-N,COc1ccc(cc1)NC(=N)Nc1ccc(cc1)OC,Aq_Sol_DB,-2.7345,,,,,,,,1,,,,,-2.7345,-2.7345
BIKACRYIQSLICJ-UHFFFAOYSA-N,CCOc1nc(cc2nc(nn12)S(=O)(=O)Nc1c(cccc1Cl)C(=O)OC)F,Aq_Sol_DB,-4.4292,,,,,,,,1,,,,,-4.4292,-4.4292
BIOQBKBTOAMMDG-GFCCVEGCSA-N,c1ccc2c(c1)cccc2C(CC(=O)[O-])[NH3+],Aq_Sol_DB,-1.5902,,,,,,,,1,,,,,-1.5902,-1.5902
BIOVWIBRVOHDTA-UHFFFAOYSA-N,CCCCc1c2ccccc2cc2c3ccccc3ccc12,reaxys_water,-7.550841132,27,,,,,,,1,,,,,-7.550841132,-7.550841132
BIQOEDQVNIYWPQ-UHFFFAOYSA-N,CC(C)COCN(C(=O)CCl)c1c(C)cccc1C,Aq_Sol_DB,-3.6822,,,,,,,,1,,,,,-3.6822,-3.6822
BISHACNKZIBDFM-UHFFFAOYSA-N,c1c(c(=O)[nH]c(=O)[nH]1)N,Aq_Sol_DB,-2.41,,reaxys_water,-2.024974555,28,,,,2,,,,,-2.217487278,-2.217487278
BITAPBDLHJQAID-MDZDMXLPSA-N,CCCCCCCCC=CCCCCCCCCN(CCO)CCO,Aq_Sol_DB,-4.78011829,,,,,,,,1,,,,,-4.78011829,-4.78011829
BIWCEXHDIQZFHI-UHFFFAOYSA-N,c1cc(c(cc1Cl)Cl)Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Aq_Sol_DB,-8.47,,,,,,,,1,,,,,-8.47,-8.47
BIWJNBZANLAXMG-UHFFFAOYSA-N,C1C2C(C(C1Cl)Cl)C1(C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl)Cl,Aq_Sol_DB,-6.8644,,,,,,,,1,,,,,-6.8644,-6.8644
BIXZHMJUSMUDOQ-UHFFFAOYSA-N,c1c(cc(c(c1Cl)N)Cl)[N+](=O)[O-],Aq_Sol_DB,-4.4709,,,,,,,,1,,,,,-4.4709,-4.4709
BJEHUIBLBDLXCQ-UHFFFAOYSA-N,CCCCCCCOC(=O)c1ccc(c(c1)Cl)O,reaxys_water,-4.228458107,30,Aq_Sol_DB,-4.23,,,,,2,,,,,-4.229229054,-4.229229054
BJELTSYBAHKXRW-UHFFFAOYSA-N,C=CCOc1nc(nc(n1)OCC=C)OCC=C,Aq_Sol_DB,-2.87422578,,,,,,,,1,,,,,-2.87422578,-2.87422578
BJEPYKJPYRNKOW-UWTATZPHSA-N,C(C(C(=O)O)O)C(=O)O,reaxys_water,0.433708232,25,,,,,,,1,,,,,0.433708232,0.433708232
BJHIKXHVCXFQLS-PUFIMZNGSA-N,C(C(C(C(C(=O)CO)O)O)O)O,reaxys_water,1.208239437,25,,,,,,,1,,,,,1.208239437,1.208239437
BJHIKXHVCXFQLS-UYFOZJQFSA-N,C(C(C(C(C(=O)CO)O)O)O)O,Aq_Sol_DB,0.6353,,,,,,,,1,,,,,0.6353,0.6353
BJIOGJUNALELMI-ONEGZZNKSA-N,CC=Cc1ccc(c(c1)OC)O,Aq_Sol_DB,-2.364737497,,,,,,,,1,,,,,-2.364737497,-2.364737497
BJJDXAFKCKSLTE-UHFFFAOYSA-N,Cc1cc(N)nc(C)n1,Aq_Sol_DB,-1.2843,,,,,,,,1,,,,,-1.2843,-1.2843
BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,reaxys_water,-8.290661102,25,Aq_Sol_DB,-6.978908353,,,,,2,,,,,-7.634784728,-7.634784728
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,c1cc(ccc1O)OC1C(C(C(C(CO)O1)O)O)O,reaxys_water,-0.754495308,25,,,,,,,1,,,,,-0.754495308,-0.754495308
BJVVMKUXKQHWJK-UHFFFAOYSA-N,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,Aq_Sol_DB,-2.02,,,,,,,,1,,,,,-2.02,-2.02
BJZIBODCUPQTSW-UHFFFAOYSA-N,c1c(=O)[nH]c2c(n1)nc[nH]c2=O,Aq_Sol_DB,-2.96,,,,,,,,1,,,,,-2.96,-2.96
BJZXTFUXOMXPTQ-UHFFFAOYSA-N,c1cnc(nc1)N1CCN(CC1)Cc1c(C#N)n(=O)on1,reaxys_water,-2.7593369,25,,,,,,,1,,,,,-2.7593369,-2.7593369
BKCXBMXTXLGZCV-UHFFFAOYSA-N,Cn1c(=NS(=O)(=O)c2ccc(cc2)N)sc(n1)S(=O)(=O)N,Aq_Sol_DB,-2.5,,,,,,,,1,,,,,-2.5,-2.5
BKEFNWSKNHGAMA-UHFFFAOYSA-N,CCC1(CC)C(=O)NC(=O)N(CO)C1=O,Aq_Sol_DB,-3.93,,reaxys_water,-3.932922034,25,,,,2,,,,,-3.931461017,-3.931461017
BKEJTAUUSZULEO-UHFFFAOYSA-N,CCCC(=O)OCn1cc2c(nc[nH]c2=O)n1,Aq_Sol_DB,-2.2,,,,,,,,1,,,,,-2.2,-2.2
BKEPEEVQXQINPR-ZDUSSCGKSA-N,c1cc(ccc1c1cc(COC2Cn3cc(nc3OC2)N(=O)=O)on1)C(F)(F)F,reaxys_water,-5.914141039,20,,,,,,,1,,,,,-5.914141039,-5.914141039
BKFXSOCDAQACQM-UHFFFAOYSA-N,c1cc(c(c(c1)Cl)C(=O)O)C(=O)O,reaxys_water,-0.807654955,24.99,Aq_Sol_DB,-0.976,,,,,2,,,,,-0.891827478,-0.891827478
BKHZQJRTFNFCTG-UHFFFAOYSA-N,Cc1ccccc1OP(Oc1ccccc1C)Oc1ccccc1C,Aq_Sol_DB,-7.77984306,,,,,,,,1,,,,,-7.77984306,-7.77984306
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,ons_water,-5.88,,Aq_Sol_DB,-5.7657,,,,,2,,,,,-5.82285,-5.82285
BKKWPPMEXIXECW-UHFFFAOYSA-N,C(CCC(=O)O)CCNc1nc(NCCCCCC(=O)O)nc(NCCCCCC(=O)O)n1,Aq_Sol_DB,-2.542361308,,,,,,,,1,,,,,-2.542361308,-2.542361308
BKONWMJLROUJCT-UHFFFAOYSA-N,Cc1cc(no1)NS(=O)(=O)c1ccc(cc1)NC(=O)OCCS(=O)CC1(C)COC1,reaxys_water,-2.660418627,30,,,,,,,1,,,,,-2.660418627,-2.660418627
