StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
HKEAFJYKMMKDOR-VPRICQMDSA-N,"puerarin; Puerarin; 7-hydroxy-3-(4-hydroxyphenyl)-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one; 8-beta-D-glucopyranosyl-7-hydroxy-3-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; 8-beta-D-glucopyranosyl-7-hydroxy-3-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; 8-C-beta-D-glucopyranosyl-7-hydroxy-3-(4-hydroxyphenyl)-4H-1-benzopyran-4-one; 4?,7-dihydroxy-8-beta-D-glucose isoflavone",OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C(O)C=CC2=C1OC=C(C2=O)C1=CC=C(O)C=C1,11.6586,-1.552847631,C,25.05,295.964,416.384,203,-1489.29505,-1489.327324,-0.03227461,-1488.964183,-1488.997353,-0.03317,3.4844,5.3282,-0.22214,0.1875,-0.07051,0.19417,650.064209,-6.32125,-0.2643,-0.80127,0.5311,-6.32125,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
HLXRWTJXGMHOFN-XJSNKYLASA-N,"verbenalin; (4aS)-1c-beta-D-glucopyranosyloxy-7c-methyl-5-oxo-(4ar,7ac)-1,4a,5,6,7,7a-hexahydro-cyclopenta[c]pyran-4-carboxylic acid methyl ester; (4aS)-1c-beta-D-Glucopyranosyloxy-7c-methyl-5-oxo-(4ar,7ac)-1,4a,5,6,7,7a-hexahydro-cyclopenta[c]pyran-4-carbonsaeure-methylester; alpha-(beta-D-glucopyranosyloxy)-1,4aalpha,5,6,7,7aalpha-hexahydro-7alpha-methyl-5-oxocyclopenta[c]pyran-4-carboxylic acid methyl ester",[H][C@@]12[C@@H](C)CC(=O)[C@]1([H])C(=CO[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC,100 g solvent dissolves. 0.91 g Substance.,-1.735336862,C,18,252.289,388.372,182,-1414.504278,-1414.529909,-0.02563084,-1414.148142,-1414.17535,-0.027208,4.0739,5.2309,-0.24357,0.21101,-0.047,0.2156,617.7084351,-6.72012,-0.32172,-0.80036,0.81486,-6.72012,51,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
HUYYFHGIHVULSU-UHFFFAOYSA-N,"benzene-1,3-disulfonamide; benzene-1,3-disulfonylamide; benzene-1,3-disulphonamide; m-benzenedisulfonamide; Benzol-1,3-disulfonamid; Benzoldisulfonsaeure-(1,3)-diamid; Benzol-1,3-disulfonsaeure-diamid",NS(=O)(=O)C1=CC(=CC=C1)S(N)(=O)=O,41,-0.760630239,D,25,143.763,236.273,229,-1440.122891,-1440.14544,-0.02254909,-1440.011892,-1440.033781,-0.021889,2.1543,3.7988,-0.29092,0.18437,-0.07364,0.26295,398.0881348,-3.86441,-1.41594,-1.12145,2.29404,-1.51923,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
HWVAWHHNNDOXDU-PTHRTHQKSA-N,O-isovaleryl-cholesterol; 3beta-Isovaleryloxy-cholesten-(5); Isovaleriansaeure-cholesterylester; O-Isovaleryl-cholesterin; Cholesterylisovalerat; cholest-5-en-3beta-yl isovalerate,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC(C)C,10,-1.672818005,C,20,436.173,470.78,110,-1402.460816,-1402.467473,-0.00665708,-1401.721854,-1401.72963,-0.007776,1.9631,2.8048,-0.23745,0.25232,-0.00569,0.20948,851.8655396,-1.21724,-11.72337,-0.68514,0.8409,-1.21724,88,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
HXEWMTXDBOQQKO-UHFFFAOYSA-N,"4,7-dichloroquinoline; 4,7-dichloro-quinoline; 4,7-dicholoroquinoline; 4,7-Dichloroquinoline; 4,7-dichloroquinolne; 4,7-DCQ; DCQ",ClC1=CC=C2C(Cl)=CC=NC2=C1,Solubility: 5.90829 molpercent,-0.097865989,D,26.04,126.521,198.051,86.9,-1321.135473,-1321.140536,-0.00506248,-1321.054433,-1321.059574,-0.005141,1.8967,2.6753,-0.25432,0.17449,-0.08352,0.22635,347.649231,0,-0.89221,-0.46645,0.27594,-0.44325,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
HXHWSAZORRCQMX-UHFFFAOYSA-N,Albendazole,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,0.83,-2.504718085,B,25,218.777,265.336,207.9,-1179.278973,-1179.292029,-0.01305666,-1179.063144,-1179.076991,-0.013847,4.7655,6.2505,-0.2211,0.22568,-0.03233,0.19313,517.8535156,-1.24367,-1.29752,-0.68818,0.94631,-2.8592,33,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1
HXIGUHNNGMNPTO-UHFFFAOYSA-N,"N,N'-bis-(4-dimethylamino-phenyl)-N-(3-hydroxy-decanoyl)-urea; N,N'-Bis-(4-dimethylamino-phenyl)-N-(3-hydroxy-decanoyl)-harnstoff",CCCCCCCC(O)CC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 4.10 g Substance.,-1.163185841,C,20,400.639,468.64,131,-1497.722561,-1497.742718,-0.02015679,-1497.156339,-1497.177558,-0.021219,3.9507,5.1755,-0.17989,0.22856,-0.02945,0.15192,887.8326416,-2.14803,-5.85276,-0.79774,0.83621,-4.28237,74,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HYXITZLLTYIPOF-UHFFFAOYSA-N,tanshinone IIA; tanshinone-IIA,CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,3.56458,-1.916855674,C,20.14,209.711,294.35,206.5,-960.56498,-960.5771578,-0.012177804,-960.284851,-960.297485,-0.012634,5.357,7.889,-0.23029,0.1448,-0.11321,0.20232,507.179718,-1.56127,-2.94809,-0.70274,0.49605,-1.56127,40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
HZKJLTIPRKRDQX-CCEZHUSRSA-N,N.N'-bis-(4-dimethylamino-phenyl)-N-(dodecen-(2t)-oyl)-urea; N.N'-Bis-(4-dimethylamino-phenyl)-N-(dodecen-(2t)-oyl)-harnstoff,CCCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 7.18 g Substance.,-0.929049367,D,20,401.715,478.678,125.5,-1499.897111,-1499.920527,-0.02341563,-1499.305401,-1499.329731,-0.02433,8.8794,12.8836,-0.18324,0.21004,-0.04797,0.15527,947.012146,-1.31725,-6.83815,-0.68797,0.84095,-3.45258,77,8,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HZRSNVGNWUDEFX-UHFFFAOYSA-N,pyraclostrobin; N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamic acid methyl ester; methyl 2-[2-({[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxy}methyl)phenyl]-2-methoxyacetate; methyl N-[2-[[1-(4-chlorophenyl)-1H-pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate; N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxy methyl carbamate; methyl (N)-[[[1-(4-chlorobenzene)p-oxazol-3-yl]-oxy]-O-methoxy]-N-methoxycarbamate; methyl-N-(2-[1-(4-chlorophenyl)-pyrazol-3-yl]oxymethylphenyl)-(N-methoxy)carbamate,CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1,500,0.110336443,E,20,246.646,387.823,64.5,-1660.167652,-1660.183159,-0.01550749,-1659.881268,-1659.897249,-0.015981,1.772,2.2454,-0.22129,0.21405,-0.04396,0.19332,666.1380615,-2.20439,-1.46988,-0.68709,0.93384,-3.0392,45,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
IAIWVQXQOWNYOU-FPYGCLRLSA-N,nitrofurazone; 5-nitro-2-furaldehyde semicarbazone; Nitrofurazone; 5-nitro-2-furfurylidenesemicarbazone; nitrofural; furacin; NFZ,NC(=O)N\N=C\C1=CC=C(O1)N(=O)=O,2.415,-1.91405064,C,NA,137.895,198.138,238,-752.0473614,-752.0694269,-0.022065483,-751.950977,-751.972578,-0.021601,4.8138,6.9894,-0.25003,0.13635,-0.12166,0.22206,387.9016418,-1.98967,0.94432,-0.87326,0.79332,-3.09354,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
IAJJZOUCJCCJTG-UHFFFAOYSA-N,"O1,O2;O3,O4;O5,O6-tribenzylidene-talitol; O1,O2;O3,O4;O5,O6-Tribenzyliden-talit; Tri-benzyliden-Derivat von Mannit",C1OC(OC1C1OC(OC1C1COC(O1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,3,-2.172700209,B,17,350.958,446.5,210,-1495.87433,-1495.89139,-0.01705981,-1495.456958,-1495.473356,-0.016398,0.7141,1.4653,-0.25445,0.23139,-0.02662,0.22648,747.3789063,-3.63425,-2.77961,-0.61844,0.39045,-3.63425,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
IAOCRFBMFNOPFQ-UHFFFAOYSA-N,"9,10-diphenyl-9,10-dihydro-anthracene-9,10-diyl dihydroperoxide; 9,10-Diphenyl-9,10-dihydro-anthracen-9,10-diyldihydroperoxid; 9.10-Dihydroperoxy-9.10-diphenyl-9.10-dihydro-anthracen",OOC1(C2=CC=CC=C2)C2=CC=CC=C2C(OO)(C2=CC=CC=C2)C2=C1C=CC=C2,3.5,-2.054111614,B,17,279.078,396.442,241,-1303.552756,-1303.565418,-0.01266163,-1303.214137,-1303.227313,-0.013176,0.7303,1.0311,-0.2448,0.21191,-0.0461,0.21683,607.1416626,-1.63509,-3.99733,-0.49978,0.51154,-1.63509,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ICSNLGPSRYBMBD-UHFFFAOYSA-N,2-aminopyridine,NC1=NC=CC=C1,Solubility: 52.77 molpercent,0.853080619,E,24.99,71.202,94.116,57,-303.6626577,-303.6714305,-0.00877281,-303.586884,-303.594869,-0.007985,2.0663,2.8495,-0.21673,0.23254,-0.02547,0.18876,257.3648987,0,-0.44613,-0.86749,0.42871,-1.41237,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
IDYZIJYBMGIQMJ-UHFFFAOYSA-N,"enoxacine; 1-Ethyl-1,4-dihydro-6-fluoro-7-(1-piperazinyl)-4-oxo-1,8-naphthyridine-3-carboxylic acid; Enoxacin; 1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(piperazin-4-ium-1-yl)-1,8-naphthyridine-3-carboxylate; 1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-1,8-naphthyridine-3-carboxylic acid; 1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(piperazinyl)-1,8-naphthylidine-3-carboxylic acid; enorxacine",CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N1CCNCC1)C(F)=C2,3,-2.028466869,B,25,265.327,320.323,222,-1126.41566,-1126.438378,-0.02271859,-1126.145374,-1126.168444,-0.02307,6.8331,9.9941,-0.22719,0.18771,-0.0703,0.19922,528.3218384,-2.04597,-0.22464,-0.7288,0.80757,-4.50338,40,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
IEDVJHCEMCRBQM-UHFFFAOYSA-N,"5-(3,4,5-trimethoxybenzyl)pyrimidine-2,4-diamine; Trimethoprim",COC1=CC(CC2=C(N)N=C(N)N=C2)=CC(OC)=C1OC,Solubility: 0.08896 molpercent,-1.920111701,C,24.8,192.262,290.322,199.6,-989.0280997,-989.0463303,-0.018230591,-988.761142,-988.779437,-0.018295,1.9942,3.2629,-0.21829,0.23315,-0.02486,0.19032,539.8106079,-1.66815,-0.46122,-0.86025,0.58411,-4.55626,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
IHPPHZLFDYXMCE-IIWURLRVSA-N,3-methoxy-16.17-seco-estrapentaen-(1.3.5.7.9)-oic acid-(18)-((1R)-menthyl ester); (1S)-7-Methoxy-2t-methyl-1r-aethyl-1.2.3.4-tetrahydro-phenanthren-carbonsaeure-(2c)-((1R)-menthylester); 3-Methoxy-16.17-seco-oestrapentaen-(1.3.5.7.9)-saeure-(18)-((1R)-menthylester),CC[C@H]1C2=C(CC[C@@]1(C)C(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C)C1=C(C=C2)C=C(OC)C=C1,10.4,-1.623085206,C,20,345.411,436.635,164.5,-1354.94003,-1354.950003,-0.00997317,-1354.366467,-1354.377429,-0.010962,0.8736,1.2057,-0.20494,0.21222,-0.04579,0.17697,731.7814941,-1.76923,-7.94517,-0.68718,0.86664,-1.76923,72,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
IHYJTAOFMMMOPX-LURJTMIESA-N,N-acetyl-L-valine,[H][C@](NC(C)=O)(C(C)C)C(O)=O,54.8,-0.463121583,D,25,110.971,159.185,166.25,-555.0591476,-555.0729521,-0.013804549,-554.897237,-554.911917,-0.01468,2.4019,3.6548,-0.26291,0.2329,-0.02511,0.23494,365.1130371,-2.05688,-1.06812,-0.76712,0.8302,-2.70683,24,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
IIACRCGMVDHOTQ-UHFFFAOYSA-N,aminosulfonic acid; amidosulphuric acid; Sulphamic acid,NS(O)(=O)=O,Solubility: 4.E-1 g/100g solvent,-1.490265876,C,NA,42.071,97.0947,205.85,-680.3545642,-680.3699972,-0.015432948,-680.33318,-680.348361,-0.015181,2.7437,3.767,-0.31548,0.22757,-0.03044,0.28751,218.9705048,-2.81655,0,-1.11462,2.46237,-1.4688,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
IJFXRHURBJZNAO-UHFFFAOYSA-N,3-Carboxyphenol; 3-hydroxybenzoic acid,OC(=O)C1=CC=CC(O)=C1,260,0.274707345,E,23,113.026,138.123,201,-496.0635754,-496.0744287,-0.010853305,-495.977508,-495.989057,-0.011549,0.867,1.2109,-0.24655,0.19114,-0.06687,0.21858,303.345459,-2.08786,-0.0266,-0.72148,0.81362,-2.08786,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
IKCLCGXPQILATA-UHFFFAOYSA-N,ortho-chlorobenzoic acid; 2-chlorobenzoic acid,OC(=O)C1=CC=CC=C1Cl,284,0.258612562,E,15,100.749,156.569,140.1,-880.4269173,-880.4356135,-0.008696213,-880.353907,-880.362915,-0.009008,3.3942,4.7235,-0.26492,0.18476,-0.07325,0.23695,307.6802979,-1.35493,-0.27523,-0.72724,0.81198,-1.33163,15,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
IMNIMPAHZVJRPE-UHFFFAOYSA-N,"1,4-diaza-bicyclo[2.2.2]octane; 1,4-diazabicyclooctane; DABCO; triethylenediamine",C1CN2CCN1CC2,100 g solvent dissolves. 13 g Substance,-0.041083069,D,25,76.754,112.175,157.5,-345.3394573,-345.345341,-0.005883638,-345.18576,-345.191651,-0.005891,0.0013,0.0032,-0.19036,0.26392,0.00591,0.16239,281.6536865,0,-1.81086,-0.53862,0.24072,-1.07724,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
INNYTHHRUGCEEV-UNTZMWQOSA-N,"tripropyl-2,4,6,8,9,10-hexathia-adamantane; Tripropyl-2,4,6,8,9,10-hexathia-adamantan",CCCC12SC3S[C@](CCC)(S[C@](CCC)(S3)S1)S2,7,-1.723940947,C,NA,205.398,370.714,198.5,-2897.76534,-2897.774712,-0.00937195,-2897.485134,-2897.494867,-0.009733,0.6273,0.6899,-0.22468,0.22652,-0.03149,0.19671,560.6982422,0,-7.3944,-0.78353,0.33251,1.80522,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
IPCSVZSSVZVIGE-UHFFFAOYSA-N,1-hexadecylcarboxylic acid; Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,Solubility: 2 molpercent,-0.56827648,D,24.09,233.671,256.429,62.5,-779.5023788,-779.5100407,-0.007661858,-779.099683,-779.108007,-0.008324,1.5458,2.1113,-0.28894,0.25191,-0.0061,0.26097,647.3121338,-1.37966,-6.4319,-0.729,0.83161,-1.37966,50,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
IQPNAANSBPBGFQ-UHFFFAOYSA-N,"2-(3,4-Dihydroxy-phenyl)-5,7-dihydroxy-chromen-4-on",OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C=C1,Solubility: 0.156 mol-percent,-1.676181877,C,25,202.599,286.241,329,-1029.002503,-1029.021352,-0.01884939,-1028.822036,-1028.841694,-0.019658,5.0088,7.0976,-0.22959,0.178,-0.08001,0.20162,473.217041,-4.03653,0.30822,-0.73609,0.53791,-4.03653,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
ISXYVHLPQGBMLC-VOTSOKGWSA-N,N.N'-bis-(4-dimethylamino-phenyl)-N-trans-crotonoyl-urea; N.N'-Bis-(4-dimethylamino-phenyl)-N-trans-crotonoyl-harnstoff,C\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 1.02 g Substance.,-1.660560304,C,20,259.468,366.463,149,-1185.385073,-1185.404127,-0.01905409,-1185.00507,-1185.023903,-0.018833,5.9218,8.771,-0.18575,0.21522,-0.04279,0.15778,693.5698853,-1.32746,-3.1368,-0.72862,0.83259,-3.45867,53,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ITWUGZSJDMBOPH-UHFFFAOYSA-N,"6-methyl-2,3,4,9-tetrahydro-1H-carbazol-1-one; 6-methyl-1,2,3,4-tetrahydrocarbazol-1-one; 1-keto-1,2,3,4-tetrahydro-6-methylcarbazole; 6-methyl-1-oxo-1,2,3,4-tetrahydrocarbazole; 6-methyl-1-oxo-2,3,4,9-tetrahydrocarbazole; 6-methyl-2,3,4,9-tetrahydro-carbazol-1-one; 1,2,3,4-tetrahydro-6-methylcarbazol-1-one",CC1=CC=C2NC3=C(CCCC3=O)C2=C1,Solubility: 2.65 p(g/100g solution),-0.981287159,D,18.3,155.953,199.252,195.4,-633.2408384,-633.2505106,-0.009672132,-633.047229,-633.057267,-0.010038,2.9706,4.1648,-0.21929,0.1927,-0.06531,0.19132,410.7974854,-0.64165,-2.3404,-0.69869,0.53934,-1.17614,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
IVDVAMTYPIOUEQ-UHFFFAOYSA-N,"3-benzoylcamphor; benzoylcamphor; 3-benzoyl-1,7,7-trimethyl-norbornan-2-one; 3-Benzoyl-1,7,7-trimethyl-norbornan-2-on; alpha-Benzoylcampher; 3-Benzoylcampher",CC1(C)C2CCC1(C)C(=O)C2C(=O)C1=CC=CC=C1,100 g solvent dissolves. 19.3 g Substance.; 3-benzoyl-d-camphor,-0.228397885,D,17,245.409,256.345,90,-810.3266365,-810.3362082,-0.00957178,-810.037848,-810.048103,-0.010255,2.0178,3.0315,-0.25098,0.18809,-0.06992,0.22301,469.5411987,-1.17413,-3.9067,-0.68135,0.6454,-1.17413,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
IVPCDWBBGQCALV-FYWRMAATSA-N,(2-nitro-phenylimino)-phthalide; (2-Nitro-phenylimino)-phthalid; N-(2-Nitro-phenyl)-phthalisoimid,O=C1O\C(=N\C2=C(C=CC=C2)N(=O)=O)C2=CC=CC=C12,64.8,-0.616930725,D,20,201.213,268.229,163,-948.6520142,-948.6675145,-0.015500313,-948.498508,-948.514084,-0.015576,4.5891,6.3347,-0.25904,0.1518,-0.10621,0.23107,467.8315735,-1.91881,-0.29397,-0.5672,0.81755,-1.86174,28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1
IVXFOQQPPONQTB-UHFFFAOYSA-N,"apigenin triacetate; 2-(4-acetoxyphenyl)-4-oxo-4H-chromene-5,7-diyl diacetate; 4',5,7-tri-O-acetylapigenin; 5,7,4'-tri-O-acetylapigenin; 4',5,7-O-triacetylapigenin; 5,7,4'-O-triacetylapigenin; 4',5,7-triacetoxyflavone",CC(=O)OC1=CC=C(C=C1)C1=CC(=O)C2=C(OC(C)=O)C=C(OC(C)=O)C=C2O1,5,-1.899112145,C,25,277.639,396.353,183.25,-1411.746952,-1411.770499,-0.02354689,-1411.477092,-1411.502155,-0.025063,5.9455,8.9404,-0.24558,0.17432,-0.08369,0.21761,671.9341431,-4.61915,0.24235,-0.7827,0.84439,-4.61915,45,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
IZZVKENIUWWBHF-BUHFOSPRSA-N,N.N'-bis-(4-dimethylamino-phenyl)-N-(undecen-(2t)-oyl)-urea; N.N'-Bis-(4-dimethylamino-phenyl)-N-(undecen-(2t)-oyl)-harnstoff,CCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,100 g solvent dissolves. 1.44 g Substance.,-1.613894727,C,20,343.655,464.651,127.5,-1460.582515,-1460.605781,-0.02326555,-1460.018034,-1460.042561,-0.024527,8.4028,12.2963,-0.18299,0.20997,-0.04804,0.15502,916.2470703,-1.31747,-6.37855,-0.68801,0.84116,-3.45175,74,7,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
JAKVEOCMEMGHGB-YFKPBYRVSA-N,(R)-2-amino-3-(prop-2-ynylthio)propanoic acid; 2-amino-3-prop-2-ynylsulfanyl-propionic acid; S-prop-2-ynyl-L-cysteine; S-propargyl-L-cysteine; S-propargylcysteine; 2-amino-3-prop-2-ynylsulfanylpropionic acid; SPRC,[H][C@](N)(CSCC#C)C(O)=O,0.13,-3.088024262,A,25,129.421,159.209,214.25,-837.3927909,-837.4083107,-0.015519795,-837.286358,-837.301621,-0.015263,2.599,3.8042,-0.23145,0.22965,-0.02836,0.20348,362.7968445,-1.36191,-0.91949,-0.92102,0.81641,-2.09264,19,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
JCRIDWXIBSEOEG-UHFFFAOYSA-N,"2,6-dinitrophenol; 2,6-dinitrophenole; 2,4-dinitrophenol; 2,6-Dinitrophenol; 2,6-dinitro-phenol; 2.6-Dinitro-1-hydroxy-benzol; 2,6-dinitro phenol",OC1=C(C=CC=C1N(=O)=O)N(=O)=O,100 g solvent dissolves. 162.2 g Substance.,0.839847846,E,14,114.167,184.108,62.1,-716.4934581,-716.5068864,-0.013428309,-716.420502,-716.434211,-0.013709,4.3688,5.8472,-0.28955,0.11865,-0.13936,0.26158,325.2571411,-2.24921,-0.15627,-0.65831,0.5397,-1.24203,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
JDMCEGLQFSOMQH-UHFFFAOYSA-N,N-acetylnorleucine; N-acetyl-DL-Nle; N-acetyl-norleucine; N-acetyl-DL-norleucine; N-Acetyl-DL-norleucin; N-Acetyl-norleucin; N-acetyl-norleucine,CCCCC(NC(C)=O)C(O)=O,234,0.130637881,E,25,151.647,173.212,105.5,-594.3759063,-594.3896255,-0.013719188,-594.187689,-594.202904,-0.015215,2.5417,5.2819,-0.26255,0.23473,-0.02328,0.23458,410.1325989,-2.06478,-1.51039,-0.76811,0.82771,-2.71408,27,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
