StdInChIKey,Name,Smile,Sol,LogS,S,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
HIIZXHMIVWACID-UHFFFAOYSA-N,1-chloro-3-oxo-phthalan-1-carboxylic acid; 1-Chlor-3-oxo-phthalan-1-carbonsaeure,OC(=O)C1(Cl)OC(=O)c2ccccc12,100 g solvent dissolves. 5 g Substance.,-0.686066679,0.206031356,E,NA,111.32,212.589,132.5,-1107.100201,-1107.107143,-0.00694251,-1107.012321,-1107.019419,-0.007098,6.534,7.5283,-0.29263,0.08778,-0.09254,0.13372,362.6648865,-2.36249,0.78046,-0.7112,0.81805,-2.37767,19,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1
HJHSNTOTXYILIV-UHFFFAOYSA-N,"2,4,6-triphenyl-1,3,5-trithiane; 2,4,6-triphenyl-1,3,5-trithiacyclohexane; alpha-2,4,6-triphenyl-1,3,5-trithiane; unsym-1,3,5-triphenyltrithiane; 2,4,6-triphenyl-[1,3,5]trithiane; 2,4,6-Triphenyl-[1,3,5]trithian; 2,4,6-Triphenyl-1,3,5-trithian",S1C(SC(SC1c2ccccc2)c3ccccc3)c4ccccc4,100 g solvent dissolves. 6.1 g Substance.; alpha-trithiobenzaldehyde,-0.836325348,0.145772181,E,25,351.14,366.572,228,-2005.663956,-2005.668462,-0.00450598,-2005.386752,-2005.391489,-0.004737,2.0312,2.4289,-0.22766,0.14353,-0.03679,0.06875,600.9787598,0,-5.40431,-0.57112,0.30898,0.77997,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1
HJRJRUMKQCMYDL-UHFFFAOYSA-N,"2,4,6-trinitrochlorobenzene; picryl chloride",[O-][N+](=O)c1cc(c(Cl)c(c1)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 36.690 g Substance.,0.113387133,1.298336101,F,17,141.127,247.551,85.5,-1305.342146,-1305.34879,-0.00664424,-1305.287658,-1305.294254,-0.006596,0.2585,0.209,-0.32817,0.02734,-0.15298,0.16926,379.0881653,-2.117,-0.14053,-0.36506,0.49919,-0.48677,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
HNPCGOZDKMBNBS-KMFMINBZSA-N,(4-nitro-benzylidene)-bornylamine; (4-Nitro-benzal)-bornylamin,CC1(C)C2CCC1(C)C(C2)N=Cc3ccc(cc3)[N+]([O-])=O,16.276,-1.245385904,0.056834769,D,NA,218.597,286.374,75,-920.9357173,-920.9397166,-0.003999328,-920.617715,-920.622008,-0.004293,5.8907,6.6464,-0.26897,0.06738,-0.11294,0.11006,529.0521851,-0.78869,-4.67495,-0.67846,0.49485,-0.71171,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
HQLOEBRPCVIFCT-UHFFFAOYSA-N,"2,6-dibromobenzoic acid; 2,6-dibromo-benzoic acid; 2,6-Dibrom-benzoesaeure; 2,6-dibrombenzoic acid",OC(=O)c1c(Br)cccc1Br,46.467,-0.779883089,0.166003372,E,20,108.93,279.916,147,-5563.083633,-5563.088045,-0.00441193,-5563.025379,-5563.02996,-0.004581,2.5611,3.0057,-0.26333,0.12968,-0.05064,0.10442,344.0858765,-1.28456,-0.23265,-0.70095,0.82464,-1.09532,15,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
HRSYHPSYPSMIQO-UHFFFAOYSA-N,"3-bromo-benzaldehyde-(2,4-dinitro-phenylhydrazone); 3-Brom-benzaldehyd-(2,4-dinitro-phenylhydrazon); m-Brombenzaldehyd-2,4-dinitrophenylhydrazon",[O-][N+](=O)c1ccc(NN=Cc2cccc(Br)c2)c(c1)[N+]([O-])=O,0.34,-3.030984062,0.000931142,B,20,193.364,365.143,257,-3592.25806,-3592.265532,-0.00747187,-3592.093047,-3592.100721,-0.007674,7.9052,9.247,-0.24688,0.05478,-0.12554,0.08797,531.7538452,-1.62071,-1.36432,-0.44072,0.49342,-1.21625,31,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HTMQZWFSTJVJEQ-UHFFFAOYSA-N,Dibenzyl sulfoxide,O=[S](Cc1ccccc1)Cc2ccccc2,100 g solvent dissolves. 3.6 g Substance.,-0.863545786,0.136916004,E,20,159.261,230.331,130,-1015.319074,-1015.32528,-0.00620635,-1015.121191,-1015.12619,-0.004999,3.3602,4.0927,-0.23295,0.14188,-0.03844,0.07404,466.7122192,-0.98074,-3.78384,-0.98074,1.21609,0.23535,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
HTXPRECVNAFGMW-UHFFFAOYSA-N,"2-Phenyl-2,2-dipropylacetohydroxamsaeure",CCCC(CCC)(c1ccccc1)C(=O)NO,58.833,-0.602048918,0.250006374,E,26,221.977,235.326,140.5,-751.3228376,-751.3270085,-0.004170856,-751.039334,-751.043827,-0.004493,3.3408,3.7628,-0.24805,0.14944,-0.03088,0.08914,479.9762878,-1.25796,-3.94862,-0.68489,0.67026,-1.61203,38,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HUKPVYBUJRAUAG-UHFFFAOYSA-N,"7H-benz[d,e]anthracene-7-one; 7H-Benz[de]anthracen-7-one",O=C1c2ccccc2c3cccc4cccc1c34,100 g solvent dissolves. 1.608 g Substance.,-1.213439666,0.061173078,D,20,182.599,230.266,170,-729.1191721,-729.1232169,-0.004044774,-728.939944,-728.944033,-0.004089,3.8862,4.7157,-0.22728,0.08205,-0.09827,0.06837,415.5254211,-0.59935,-1.92391,-0.59935,0.53121,-0.59935,28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
HVSKRJNXLJJPBR-ALCCZGGFSA-N,alpha-bromo-2-chloro-trans-cinnamic acid; alpha-Brom-2-chlor-trans-zimtsaeure; 2-Chlor-alpha-brom-zimtsaeure,OC(=O)\C(Br)=C\c1ccccc1Cl,100 g solvent dissolves. 0.73 g Substance.,-1.611648048,0.024454115,D,NA,171.791,261.502,128,-3528.957347,-3528.96143,-0.00408239,-3528.866645,-3528.870918,-0.004273,2.6471,3.1166,-0.25049,0.0848,-0.09552,0.09158,383.4550171,-1.32811,-0.64149,-0.70551,0.77881,-1.20929,19,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
HZKHTARSMSXWFU-UHFFFAOYSA-N,"naphthalene-1,3,5-trisulfonyl chloride; Naphthalin-1,3,5-trisulfonylchlorid; Trichlorid aus Naphthalin-trisulfonsaeure-(1.3.5)",Cl[S](=O)(=O)c1cc2c(cccc2[S](Cl)(=O)=O)c(c1)[S](Cl)(=O)=O,100 g solvent dissolves. 14.61 g Substance.,-0.519907217,0.302059697,E,20,244.246,423.703,146,-3410.40637,-3410.413884,-0.00751446,-3410.309268,-3410.31727,-0.008002,5.2328,6.1372,-0.30558,0.03204,-0.14828,0.14667,526.1759644,-5.23629,-1.7936,-0.87613,2.08169,0.33662,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
IAHOUQOWMXVMEH-UHFFFAOYSA-N,"picramide; 1,3,5-trinitrobenzene; 2,4,6-trinitroaniline; trinitroaniline; TNA; 2,4,6-trinitro-aniline; 2,4,6-Trinitro-anilin",Nc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 0.907 g Substance.,-1.458053873,0.034829411,D,19.5,152.935,228.121,190,-901.1451998,-901.1524786,-0.007278802,-901.061465,-901.068913,-0.007448,3.184,3.7767,-0.29193,0.02936,-0.15096,0.13302,364.6940308,-2.34366,0.03603,-0.74609,0.49823,-1.59642,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IAOCRFBMFNOPFQ-UHFFFAOYSA-N,"9,10-diphenyl-9,10-dihydro-anthracene-9,10-diyl dihydroperoxide; 9,10-Diphenyl-9,10-dihydro-anthracen-9,10-diyldihydroperoxid; 9.10-Dihydroperoxy-9.10-diphenyl-9.10-dihydro-anthracen",OOC1(c2ccccc2)c3ccccc3C(OO)(c4ccccc4)c5ccccc15,2,-2.297149663,0.005044874,C,17,363.446,396.442,241,-1303.552756,-1303.558439,-0.00568251,-1303.214136,-1303.219954,-0.005818,0.7303,0.8482,-0.2448,0.13421,-0.04611,0.08589,606.6859741,-1.6121,-3.94877,-0.49159,0.50397,-1.6121,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IBCDULLCLULASH-UHFFFAOYSA-N,N-p-chlorophenyl-p-methylbenzohydroxamic acid,Cc1ccc(cc1)C(=O)N(O)c2ccc(Cl)cc2,12.9,-1.307227288,0.049291577,D,20,175.027,261.708,159,-1206.09419,-1206.099187,-0.00499646,-1205.91287,-1205.916862,-0.003992,4.7907,5.39,-0.23272,0.12372,-0.0566,0.07381,481.4853821,-1.20497,-1.97859,-0.70311,0.67905,-1.38486,30,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IBDIGFWTFKXXAG-UHFFFAOYSA-N,4-((2-nitrophenyl)diazenyl)phenol; 4-(2-Nitro-phenylazo)-phenol; 2'-Nitro-4-hydroxy-azobenzol,Oc1ccc(cc1)N=Nc2ccccc2[N+]([O-])=O,100 g solvent dissolves. 7.18 g Substance.,-0.587374305,0.258598318,E,30,153.196,243.222,110,-852.5073469,-852.5141259,-0.00677901,-852.354187,-852.360799,-0.006612,3.2845,3.8936,-0.23855,0.07481,-0.10551,0.07964,452.8112183,-1.45578,-1.27569,-0.69683,0.51791,-1.33994,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ICSNLGPSRYBMBD-UHFFFAOYSA-N,2-aminopyridine,Nc1ccccn1,191,0.307369906,2.029410514,F,25,74.703,94.116,57,-303.6626574,-303.666209,-0.003551612,-303.586883,-303.590456,-0.003573,2.0663,2.3893,-0.21673,0.15485,-0.02547,0.05782,257.9655457,0,-0.44702,-0.8577,0.43476,-1.39026,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
IEGGPIDDZREPLN-UHFFFAOYSA-N,"4-[(2,4-dinitro-phenylhydrazono)-methyl]-benzoic acid methyl ester; 4-[(2,4-Dinitro-phenylhydrazono)-methyl]-benzoesaeure-methylester",COC(=O)c1ccc(cc1)C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O,0.14,-3.390787543,0.000406642,B,20,257.523,344.283,270,-1249.017829,-1249.026731,-0.00890175,-1248.804627,-1248.813334,-0.008707,6.7243,7.5824,-0.24718,0.05361,-0.12671,0.08827,582.4398193,-2.79202,-0.83028,-0.62121,0.8091,-2.45108,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IFLREYGFSNHWGE-UHFFFAOYSA-N,Tetracen,c1ccc2cc3cc4ccccc4cc3cc2c1,2.19158,-2.017735267,0.009599856,C,20,171.638,228.293,350,-693.1878882,-693.1904191,-0.002530931,-692.985488,-692.988025,-0.002537,0.0001,0,-0.18849,0.0926,-0.08772,0.02958,441.3098755,0,-2.91002,-0.2453,0.24778,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
IFYDLKKPIFEVOU-UHFFFAOYSA-N,4-tert-Butyl-2-phenylazo-phenol; 6-Hydroxy-3-tert-butyl-azobenzol; 2-Hydroxy-5-tert-butyl-azobenzol,CC(C)(C)c1ccc(O)c(c1)N=Nc2ccccc2,100 g solvent dissolves. 128.6 g Substance.,0.646344068,4.429391501,F,30,213.379,254.332,70,-805.2691651,-805.2721246,-0.002959452,-805.009114,-805.011557,-0.002443,1.5061,1.7021,-0.22353,0.08252,-0.0978,0.06462,510.3019409,-0.70365,-3.56348,-0.70365,0.52088,-1.12913,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IJFXRHURBJZNAO-UHFFFAOYSA-N,3-Carboxyphenol; 3-hydroxybenzoic acid,OC(=O)c1cccc(O)c1,100 g solvent dissolves. 0.0101 g Substance.,-3.193440523,0.00064056,B,25,100.033,138.123,202,-496.0635754,-496.0687558,-0.005180376,-495.977509,-495.982939,-0.00543,0.8674,1.0336,-0.24655,0.11346,-0.06686,0.08764,303.5959778,-2.06068,-0.02268,-0.72185,0.80802,-2.06068,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
IJXJGQCXFSSHNL-QMMMGPOBSA-N,(R)-Phenylglycinol; D-2-phenylglycinol,N[C@@H](CO)c1ccccc1,13,-1.023350612,0.09476531,D,20,142.025,137.181,76,-441.4459106,-441.4517055,-0.005794898,-441.303406,-441.308856,-0.00545,2.5847,2.9065,-0.23541,0.16048,-0.01984,0.0765,336.8784485,-0.78092,-1.48857,-0.90527,0.50077,-1.68619,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IKEHOXWJQXIQAG-UHFFFAOYSA-N,2-tert-Butyl-4-methylphenol; 2-t-Butyl-4-methylphenol,Cc1ccc(O)c(c1)C(C)(C)C,Solubility: 52.8 mol-percent,0.772431391,5.921495329,F,22,130.107,164.247,51,-504.0531718,-504.0554689,-0.002297037,-503.847003,-503.84928,-0.002277,1.2153,1.3273,-0.21903,0.16811,-0.01221,0.06012,379.5638733,-0.72378,-3.40174,-0.72378,0.51349,-0.72378,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IKZIWJRUUPSDHX-UHFFFAOYSA-N,"naphthalene-1,3,7-trisulfonyl chloride; Naphthalin-1,3,7-trisulfonylchlorid",Cl[S](=O)(=O)c1ccc2cc(cc(c2c1)[S](Cl)(=O)=O)[S](Cl)(=O)=O,100 g solvent dissolves. 0.85 g Substance.,-1.755138507,0.017573631,D,20,226.175,423.703,165.5,-3410.410594,-3410.418981,-0.00838608,-3410.314397,-3410.323047,-0.00865,4.4477,5.2886,-0.30443,0.03143,-0.14889,0.14552,538.0223999,-5.2273,-1.80303,-0.8755,2.08377,0.34688,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
IMOPXBPHKARACH-UHFFFAOYSA-N,"2-<(ethoxy)methyl>-isoindole-1,3(2H)-dione; N-(ethoxymethyl)phthalimide; N-ethoxymethyl-phthalimide; N-Aethoxymethyl-phthalimid; 2-(ethoxymethyl)-1H-isoindole-1,3(2H)-dione; N-ethoxymethyl phthalimide; Phthaliminomethyl-ethyl-ether",CCOCN1C(=O)c2ccccc2C1=O,0.25,-2.914264861,0.001218246,C,25,129.472,205.213,88,-706.2716566,-706.2771473,-0.005490656,-706.106908,-706.112213,-0.005305,3.4526,4.032,-0.27792,0.08279,-0.09753,0.11901,413.4640503,-1.7474,-0.40693,-0.70873,0.71085,-2.29059,26,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
IOQIWWTVXOPYQR-CBAPKCEASA-N,N-benzoyl-DL-allothreonine; N-Benzoyl-DL-allothreonin; Benzoyl-DL-allothreonin,C[C@H](O)[C@H](NC(=O)c1ccccc1)C(O)=O,50,-0.649780609,0.223985235,E,25,162.334,223.229,177,-782.7067103,-782.7139913,-0.007281055,-782.518658,-782.526751,-0.008093,1.5175,2.0108,-0.26236,0.12777,-0.05255,0.10345,434.8146362,-2.77677,-0.60244,-0.78489,0.81417,-3.43871,29,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
IPCSVZSSVZVIGE-UHFFFAOYSA-N,1-hexadecylcarboxylic acid; Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,100 g solvent dissolves. 7.30 g Substance.,-0.603140172,0.249378971,E,20,279.863,256.429,63.5,-779.5023788,-779.5060023,-0.003623431,-779.099683,-779.103786,-0.004103,1.5458,1.7812,-0.28894,0.17422,-0.0061,0.13003,646.3565674,-1.35678,-6.43418,-0.72831,0.82287,-1.35678,50,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
IPWFJLQDVFKJDU-UHFFFAOYSA-N,"pentamide; pentanoic acid[2,6-diethyl-2,3,6-trimethyl-1-(1-phenyl-ethoxy)-piperidin-4-yl]-amide; pentanoic acid amide; n-butanecarboxamide; valeric anhydride; n-valeramide; pentanamide",CCCCC(N)=O,100 g solvent dissolves. 0.51 g Substance.,-1.354883018,0.044168941,D,20,103.887,101.148,106,-327.1706997,-327.1757694,-0.005069771,-327.044928,-327.049243,-0.004315,3.8236,4.4093,-0.26026,0.17121,-0.00911,0.10135,304.3465576,-0.6625,-1.49642,-0.87604,0.68015,-1.53854,18,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IVSTXFYJHXMXFM-UHFFFAOYSA-N,"Chloralide of malic acid; (5-oxo-2-trichloromethyl-[1,3]dioxolan-4-yl)-acetic acid; (5-Oxo-2-trichlormethyl-[1,3]dioxolan-4-yl)-essigsaeure; 5-Carboxymethyl-2-trichlormethyl-1,3-dioxolan-4-on; 5-Methylcarboxy-2-trichlormethyl-1.3-dioxolan-4-on; Aepfelsaeurechloralid",OC(=O)CC1OC(OC1=O)C(Cl)(Cl)Cl,30,-0.94359673,0.113868414,E,20,139.792,263.462,141,-1988.375152,-1988.381473,-0.00632112,-1988.302065,-1988.308729,-0.006664,2.9647,3.3446,-0.31277,0.11842,-0.0619,0.15386,395.6530457,-3.01054,1.17653,-0.7138,0.82272,-2.84888,19,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
IWYDHOAUDWTVEP-UHFFFAOYSA-N,MANDELIC ACID,OC(C(O)=O)c1ccccc1,0.746,-2.309533129,0.004903056,C,19,107.091,152.15,119,-535.3658256,-535.3706952,-0.00486964,-535.254478,-535.259637,-0.005159,2.4617,2.8404,-0.25628,0.14174,-0.03858,0.09737,330.9577637,-2.10856,-0.44144,-0.77436,0.80776,-2.10856,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,caprolactam; epsilon-caprolactam; epsilon-aminocaproic acid lactam; Hexahydro-2H-azepine-2-one; &epsilon;-caprolactam; hexahydro-2H-azepin-2-one; 2-oxo-hexamethyleneamine,O=C1CCCCCN1,412.899,0.56215473,3.648839242,F,22,103.711,113.159,69,-365.2724525,-365.2776262,-0.005173708,-365.134708,-365.139813,-0.005105,4.4938,5.1848,-0.24971,0.17497,-0.00535,0.0908,291.5436401,-0.67734,-1.57006,-0.67734,0.68696,-1.34891,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
JBLPFPMLHWDSFR-UHFFFAOYSA-N,"ethylpentachlorobenzene; ethyl-pentachloro-benzene; Aethyl-pentachlor-benzol; 2,3,4,5,6-Pentachlor-1-aethyl-benzol; Pentachlor-aethyl-benzol; Pentachlorphenyl-ethan",CCc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1 Mol solvent dissolves. 0.468 Mol Substance.,0.720043321,5.248598126,F,22.1,136.376,278.393,56,-2608.841218,-2608.842398,-0.00117998,-2608.77363,-2608.774957,-0.001327,1.8673,2.145,-0.26492,0.1223,-0.05802,0.10601,391.8256531,0,-1.5658,-0.68347,0.26564,0.30484,18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
JCRIDWXIBSEOEG-UHFFFAOYSA-N,"2,6-dinitrophenol; 2,6-dinitrophenole; 2,4-dinitrophenol; 2,6-Dinitrophenol; 2,6-dinitro-phenol; 2.6-Dinitro-1-hydroxy-benzol; 2,6-dinitro phenol",Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 33.7 g Substance.,0.205061347,1.603471876,F,14,98.132,184.108,63,-716.493458,-716.4995367,-0.006078676,-716.420496,-716.426784,-0.006288,4.3697,5.023,-0.28957,0.04093,-0.13939,0.13066,325.2093201,-2.1915,-0.18938,-0.65546,0.53784,-1.19328,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
JDCXPRVWBPDZRZ-UHFFFAOYSA-N,(5-methyl-1(3)H-benzimidazol-2-yl)-p-tolyl-amine; (5-Methyl-1(3)H-benzimidazol-2-yl)-p-tolyl-amin,Cc1ccc(Nc2[nH]c3ccc(C)cc3n2)cc1,100 g solvent dissolves. 0.1 g Substance.,-2.432800953,0.003691467,C,15,180.503,237.304,197.5,-744.9371843,-744.943358,-0.006173676,-744.713727,-744.719697,-0.00597,3.7424,4.4921,-0.19499,0.1572,-0.02312,0.03608,488.7983704,0,-2.2998,-0.69742,0.58988,-1.78202,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
JFCQEDHGNNZCLN-UHFFFAOYSA-N,"1,5-pentanedioic acid; Glutaric acid",OC(=O)CCCC(O)=O,100 g solvent dissolves. 0.0163 g Substance.,-2.966263706,0.001080777,C,25,108.024,132.116,98,-496.3018502,-496.3087561,-0.006905935,-496.204866,-496.211452,-0.006586,3.0678,3.5793,-0.29309,0.16505,-0.01527,0.13418,315.8199768,-2.69982,0.04045,-0.72734,0.82265,-2.69982,17,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
JFLKFZNIIQFQBS-FNCQTZNRSA-N,"trans,trans-1,4-Diphenyl-1,3-butadiene; 1,4-Diphenyl-1E,3E-butadiene",c1ccc(cc1)\C=C\C=C\c2ccccc2,66.15,-0.493942012,0.320669746,E,19,226.827,206.287,152,-618.1402901,-618.1431561,-0.002865926,-617.933933,-617.937052,-0.003119,0.0001,0,-0.20247,0.10816,-0.07216,0.04356,470.7535706,0,-3.35987,-0.24352,0.2473,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
JLZUZNKTTIRERF-UHFFFAOYSA-N,"1,1,2,2-tetraphenylethylene; tetraphenylethylene; 1,1',1'',1'''-(1,2-ethenediylidene)tetrakisbenzene; 1,1,2,2-tetraphenylethene; 1,1,2,2-tetraphenyethene; tetrakisphenylethene; tetraphenyl ethylene",c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)c4ccccc4,48,-0.840478568,0.144384785,E,20,260.321,332.445,224.5,-1002.839925,-1002.842954,-0.0030282,-1002.515414,-1002.518571,-0.003157,0,0,-0.20645,0.12396,-0.05636,0.04754,597.8577881,0,-4.94978,-0.24292,0.24949,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
JMKXWKLOUNEPMY-UHFFFAOYSA-N,tetramethylenesulfonium dinitromethylide,O=N(=O)/C(N(=O)=O)=S/1CCCC1,0.077,-3.39725362,0.000400633,B,20,114.937,192.196,187,-1003.702909,-1003.714814,-0.01190527,-1003.595638,-1003.607307,-0.011669,9.9475,11.5973,-0.26639,0.09367,-0.08665,0.10748,345.0942383,-1.73092,-2.26209,-0.58166,0.8655,0.02912,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
JTGMTYWYUZDRBK-UHFFFAOYSA-N,"9,10-dimethylanthracene; 9,10-bis(chlorodimethyl)anthracene; 9,10-Dimethylanthracene; 9,10-dimethyl-anthracene; 1,9-dimethylantharacene; 9,10-dimethyl anthracene; 9,10-DMA",Cc1c2ccccc2c(C)c3ccccc13,29,-0.852073862,0.140580841,E,20,173.066,206.287,183,-618.1711234,-618.1731913,-0.002067976,-617.958559,-617.960689,-0.00213,0.0005,0.0007,-0.19429,0.10951,-0.07081,0.03538,413.6239624,0,-3.39448,-0.68276,0.24625,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
