StdInChIKey,Name,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,any halides,F,Cl,Br,I,carbonyl,ketone,aldehyde,amide,ester,carboxyl,alkene,alkyne,all aromatic,aromatic C,aromatic N,aromatic S,aromatic O,nitrile,1st/2nd amine,nitro,azo,alcohol,ether inc. ester,P,S,thiol,thioamide,sulfonamide,heterocyclic,at least 1 ring,unfused benzene ring,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,H-bond donor,Acidic hydroxyl,H-bond acceptor
HFXHGVFEDYAYHQ-ISLYRVAYSA-N,1-[3-(2-ethyl-4-hydroxy-phenylazo)-phenyl]-ethanone; 1-[3-(2-Aethyl-4-hydroxy-phenylazo)-phenyl]-aethanon,CCc1cc(O)ccc1N=Nc2cccc(c2)C(C)=O,100 g solvent dissolves. 0.86 g Substance.,-1.551642395,D,30,319.222,268.315,142,-0.007110427,-0.012978148,-0.005867721,0.206416,0.201169,-0.005247,4.3402,4.299,-0.32714,0.1379,-0.04242,0.16823,534.0682373,-0.991641,-1.650583,-0.638685,0.60418,-1.281075,36,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HHDJWYOCRHVJHS-UHFFFAOYSA-N,"2,2-diethyl-2-[(p-tolyl)methyl]acetohydroxamic acid",CCC(CC)(Cc1ccc(C)cc1)C(=O)NO,7.0599,-1.522871363,D,26,293.036,235.326,129.5,-0.105764902,-0.110731594,-0.004966692,0.147392,0.14186,-0.005532,3.6751,4.0561,-0.33479,0.19177,0.01145,0.17588,464.0947876,-0.932724,-2.359738,-0.541789,0.515246,-1.218371,38,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HIIZXHMIVWACID-UHFFFAOYSA-N,1-chloro-3-oxo-phthalan-1-carboxylic acid; 1-Chlor-3-oxo-phthalan-1-carbonsaeure,OC(=O)C1(Cl)OC(=O)c2ccccc12,100 g solvent dissolves. 5 g Substance.,-0.686066679,E,NA,145.99,212.589,132.5,-0.214214128,-0.220674822,-0.006460694,-0.136314,-0.143006,-0.006692,6.3805,7.2948,-0.39554,0.12338,-0.05694,0.23663,365.3972473,-1.801262,0.82622,-0.507747,0.650814,-1.876409,19,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1
HJHSNTOTXYILIV-UHFFFAOYSA-N,"2,4,6-triphenyl-1,3,5-trithiane; 2,4,6-triphenyl-1,3,5-trithiacyclohexane; alpha-2,4,6-triphenyl-1,3,5-trithiane; unsym-1,3,5-triphenyltrithiane; 2,4,6-triphenyl-[1,3,5]trithiane; 2,4,6-Triphenyl-[1,3,5]trithian; 2,4,6-Triphenyl-1,3,5-trithian",S1C(SC(SC1c2ccccc2)c3ccccc3)c4ccccc4,100 g solvent dissolves. 6.1 g Substance.; alpha-trithiobenzaldehyde,-0.836325348,E,25,353.393,366.572,228,0.143389113,0.138261437,-0.005127676,0.397635,0.391841,-0.005794,2.5502,2.9057,-0.32096,0.16198,-0.01834,0.16205,593.5325928,0,-2.709737,-0.177751,0.209562,-0.220971,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1
HJRJRUMKQCMYDL-UHFFFAOYSA-N,"2,4,6-trinitrochlorobenzene; picryl chloride",[O-][N+](=O)c1cc(c(Cl)c(c1)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 36.690 g Substance.,0.113387133,F,17,101.054,247.551,85.5,0.028080863,0.020363128,-0.007717734,0.083865,0.075988,-0.007877,0.6035,0.6587,-0.42129,0.07621,-0.10411,0.26238,367.2577209,-2.697522,-0.439891,-0.462508,0.869676,0.01424,18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
HNPCGOZDKMBNBS-KMFMINBZSA-N,(4-nitro-benzylidene)-bornylamine; (4-Nitro-benzal)-bornylamin,CC1(C)C2CCC1(C)C(C2)N=Cc3ccc(cc3)[N+]([O-])=O,16.276,-1.245385904,D,NA,282.167,286.374,75,0.029986973,0.024599471,-0.005387502,0.317774,0.31281,-0.004964,7.4599,8.1942,-0.36177,0.12708,-0.05324,0.20286,521.1177979,-0.97827,-2.943146,-0.521611,0.840994,-0.432059,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
HQLOEBRPCVIFCT-UHFFFAOYSA-N,"2,6-dibromobenzoic acid; 2,6-dibromo-benzoic acid; 2,6-Dibrom-benzoesaeure; 2,6-dibrombenzoic acid",OC(=O)c1c(Br)cccc1Br,46.467,-0.779883089,E,20,106.604,279.916,147,-0.086635296,-0.092608701,-0.005973404,-0.036818,-0.046361,-0.009543,3.132,3.6953,-0.37209,0.14117,-0.03915,0.21318,343.7270813,-1.013625,0.23342,-0.511078,0.669484,-1.127295,15,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
HRSYHPSYPSMIQO-UHFFFAOYSA-N,"3-bromo-benzaldehyde-(2,4-dinitro-phenylhydrazone); 3-Brom-benzaldehyd-(2,4-dinitro-phenylhydrazon); m-Brombenzaldehyd-2,4-dinitrophenylhydrazon",[O-][N+](=O)c1ccc(NN=Cc2cccc(Br)c2)c(c1)[N+]([O-])=O,0.34,-3.030984062,B,20,203.833,365.143,257,0.116900101,0.108352538,-0.008547564,0.270141,0.258078,-0.012063,8.156,9.1945,-0.35362,0.10488,-0.07544,0.19471,537.460144,-1.979716,-1.057489,-0.543736,0.888549,-0.711754,31,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HTMQZWFSTJVJEQ-UHFFFAOYSA-N,Dibenzyl sulfoxide,O=[S](Cc1ccccc1)Cc2ccccc2,100 g solvent dissolves. 3.6 g Substance.,-0.863545786,E,20,254.918,230.331,130,0.027912004,0.021926423,-0.00598558,0.208683,0.202708,-0.005975,2.4999,3.179,-0.31401,0.18107,0.00075,0.1551,462.7555542,-0.783033,-2.61194,-0.783033,1.083061,0.300028,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
HTXPRECVNAFGMW-UHFFFAOYSA-N,"2-Phenyl-2,2-dipropylacetohydroxamsaeure",CCCC(CCC)(c1ccccc1)C(=O)NO,58.833,-0.602048918,E,26,290.551,235.326,140.5,-0.094691997,-0.099045584,-0.004353588,0.157259,0.152294,-0.004965,3.2666,3.6754,-0.34919,0.17758,-0.00274,0.19028,477.1800842,-0.918496,-2.229738,-0.532314,0.512345,-1.200547,38,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
HUKPVYBUJRAUAG-UHFFFAOYSA-N,"7H-benz[d,e]anthracene-7-one; 7H-Benz[de]anthracen-7-one",O=C1c2ccccc2c3cccc4cccc1c34,100 g solvent dissolves. 1.608 g Substance.,-1.213439666,D,20,214.979,230.266,170,0.053235302,0.049493333,-0.00374197,0.219632,0.215593,-0.004039,3.7401,4.5004,-0.32906,0.12763,-0.05269,0.17015,416.8096008,-0.530554,-1.072581,-0.530554,0.568221,-0.530554,28,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
HVSKRJNXLJJPBR-ALCCZGGFSA-N,alpha-bromo-2-chloro-trans-cinnamic acid; alpha-Brom-2-chlor-trans-zimtsaeure; 2-Chlor-alpha-brom-zimtsaeure,OC(=O)\C(Br)=C\c1ccccc1Cl,100 g solvent dissolves. 0.73 g Substance.,-1.611648048,D,NA,133.395,261.502,128,-0.086083879,-0.09104288,-0.004959,-0.008456,-0.013548,-0.005092,2.8715,3.2423,-0.36044,0.13729,-0.04303,0.20153,387.789856,-1.028897,-0.080246,-0.531469,0.655238,-1.133301,19,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
HZKHTARSMSXWFU-UHFFFAOYSA-N,"naphthalene-1,3,5-trisulfonyl chloride; Naphthalin-1,3,5-trisulfonylchlorid; Trichlorid aus Naphthalin-trisulfonsaeure-(1.3.5)",Cl[S](=O)(=O)c1cc2c(cccc2[S](Cl)(=O)=O)c(c1)[S](Cl)(=O)=O,100 g solvent dissolves. 14.61 g Substance.,-0.519907217,E,20,195.028,423.703,146,-0.316722924,-0.333945409,-0.017222485,-0.229791,-0.247347,-0.017556,6.0082,6.933,-0.41092,0.07216,-0.10816,0.25201,517.9484253,-5.029612,-1.624294,-0.84846,2.416791,0.663494,27,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
IAHOUQOWMXVMEH-UHFFFAOYSA-N,"picramide; 1,3,5-trinitrobenzene; 2,4,6-trinitroaniline; trinitroaniline; TNA; 2,4,6-trinitro-aniline; 2,4,6-Trinitro-anilin",Nc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 0.907 g Substance.,-1.458053873,D,19.5,126.127,228.121,190,0.006227286,-0.00238891,-0.008616196,0.083787,0.07437,-0.009417,3.4156,4.2004,-0.39747,0.08798,-0.09234,0.23856,364.893158,-2.892886,-0.436438,-0.518517,0.891929,-0.596378,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IAOCRFBMFNOPFQ-UHFFFAOYSA-N,"9,10-diphenyl-9,10-dihydro-anthracene-9,10-diyl dihydroperoxide; 9,10-Diphenyl-9,10-dihydro-anthracen-9,10-diyldihydroperoxid; 9.10-Dihydroperoxy-9.10-diphenyl-9.10-dihydro-anthracen",OOC1(c2ccccc2)c3ccccc3C(OO)(c4ccccc4)c5ccccc15,2,-2.297149663,C,17,399.177,396.442,241,0.111769795,0.107055236,-0.004714559,0.422637,0.41734,-0.005297,0.7171,0.82,-0.34939,0.15928,-0.02104,0.19048,604.2442627,-1.021985,-2.426905,-0.303003,0.293922,-1.021985,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IBCDULLCLULASH-UHFFFAOYSA-N,N-p-chlorophenyl-p-methylbenzohydroxamic acid,Cc1ccc(cc1)C(=O)N(O)c2ccc(Cl)cc2,12.9,-1.307227288,D,20,263.302,261.708,159,-0.024085564,-0.028195262,-0.004109698,0.140989,0.135535,-0.005454,5.4588,6.0648,-0.33008,0.15694,-0.02338,0.17117,479.4756165,-0.895366,-1.028883,-0.526723,0.607065,-1.211334,30,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IBDIGFWTFKXXAG-UHFFFAOYSA-N,4-((2-nitrophenyl)diazenyl)phenol; 4-(2-Nitro-phenylazo)-phenol; 2'-Nitro-4-hydroxy-azobenzol,Oc1ccc(cc1)N=Nc2ccccc2[N+]([O-])=O,100 g solvent dissolves. 7.18 g Substance.,-0.587374305,E,30,230.599,243.222,110,0.078637774,0.071819455,-0.006818319,0.217397,0.210718,-0.006679,4.3871,5.1478,-0.34288,0.13112,-0.0492,0.18397,456.7451172,-1.437413,-0.932995,-0.499323,0.860674,-0.816596,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
ICSNLGPSRYBMBD-UHFFFAOYSA-N,2-aminopyridine,Nc1ccccn1,191,0.307369906,F,25,114.408,94.116,57,0.048952585,0.045210669,-0.003741915,0.115844,0.111853,-0.003991,1.9919,2.2981,-0.31978,0.18692,0.0066,0.16087,259.4318237,0,-0.21808,-0.507672,0.416099,-0.991787,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
IEGGPIDDZREPLN-UHFFFAOYSA-N,"4-[(2,4-dinitro-phenylhydrazono)-methyl]-benzoic acid methyl ester; 4-[(2,4-Dinitro-phenylhydrazono)-methyl]-benzoesaeure-methylester",COC(=O)c1ccc(cc1)C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O,0.14,-3.390787543,B,20,272.43,344.283,270,-0.020379486,-0.03012225,-0.009742763,0.173331,0.161852,-0.011479,5.8186,6.6628,-0.35675,0.10125,-0.07907,0.19784,580.9599609,-2.943316,-0.659341,-0.542156,0.887803,-1.580485,37,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IFLREYGFSNHWGE-UHFFFAOYSA-N,Tetracen,c1ccc2cc3cc4ccccc4cc3cc2c1,2.19158,-2.017735267,C,20,259.168,228.293,350,0.129414192,0.12703179,-0.002382402,0.318131,0.315414,-0.002717,0.0001,0.0001,-0.29542,0.13182,-0.0485,0.13651,441.1567993,0,-1.873774,-0.198326,0.161986,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
IFYDLKKPIFEVOU-UHFFFAOYSA-N,4-tert-Butyl-2-phenylazo-phenol; 6-Hydroxy-3-tert-butyl-azobenzol; 2-Hydroxy-5-tert-butyl-azobenzol,CC(C)(C)c1ccc(O)c(c1)N=Nc2ccccc2,100 g solvent dissolves. 128.6 g Substance.,0.646344068,F,30,280.148,254.332,70,0.041558979,0.038578704,-0.002980275,0.274956,0.272143,-0.002813,1.1884,1.2803,-0.3226,0.14165,-0.03867,0.16369,517.6286621,-0.463138,-2.331318,-0.532553,0.355828,-0.757515,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IJFXRHURBJZNAO-UHFFFAOYSA-N,3-Carboxyphenol; 3-hydroxybenzoic acid,OC(=O)c1cccc(O)c1,100 g solvent dissolves. 0.0101 g Substance.,-3.193440523,B,25,150.148,138.123,202,-0.172059402,-0.176492863,-0.004433462,-0.098532,-0.103601,-0.005069,1.2294,1.4513,-0.35071,0.14512,-0.0352,0.1918,306.4507446,-1.529102,0.126651,-0.531018,0.63653,-1.529102,16,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
IJXJGQCXFSSHNL-QMMMGPOBSA-N,(R)-Phenylglycinol; D-2-phenylglycinol,N[C@@H](CO)c1ccccc1,13,-1.023350612,D,20,182.032,137.181,76,-0.041345054,-0.039701416,0.001643638,0.086812,0.086553,-0.000259,3.449,2.1716,-0.35507,0.17898,-0.00134,0.19616,335.9497375,-0.572356,-0.820852,-0.572356,0.316334,-1.112357,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IKEHOXWJQXIQAG-UHFFFAOYSA-N,2-tert-Butyl-4-methylphenol; 2-t-Butyl-4-methylphenol,Cc1ccc(O)c(c1)C(C)(C)C,Solubility: 52.8 mol-percent,0.772431391,F,22,224.135,164.247,51,-0.085163324,-0.087729901,-0.002566577,0.099377,0.096313,-0.003064,2.2706,2.5572,-0.3134,0.19271,0.01239,0.15449,376.0969849,-0.508941,-2.24012,-0.535436,0.336149,-0.508941,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
IKZIWJRUUPSDHX-UHFFFAOYSA-N,"naphthalene-1,3,7-trisulfonyl chloride; Naphthalin-1,3,7-trisulfonylchlorid",Cl[S](=O)(=O)c1ccc2cc(cc(c2c1)[S](Cl)(=O)=O)[S](Cl)(=O)=O,100 g solvent dissolves. 0.85 g Substance.,-1.755138507,D,20,197.328,423.703,165.5,-0.316480354,-0.334939283,-0.018458929,-0.230233,-0.2489,-0.018667,5.4046,6.4633,-0.40376,0.0699,-0.11042,0.24485,532.1896362,-5.017234,-1.604019,-0.845237,2.413401,0.668613,27,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
IMOPXBPHKARACH-UHFFFAOYSA-N,"2-<(ethoxy)methyl>-isoindole-1,3(2H)-dione; N-(ethoxymethyl)phthalimide; N-ethoxymethyl-phthalimide; N-Aethoxymethyl-phthalimid; 2-(ethoxymethyl)-1H-isoindole-1,3(2H)-dione; N-ethoxymethyl phthalimide; Phthaliminomethyl-ethyl-ether",CCOCN1C(=O)c2ccccc2C1=O,0.25,-2.914264861,C,25,166.656,205.213,88,-0.148719741,-0.154314223,-0.005594482,-0.002067,-0.007677,-0.00561,3.5713,4.2448,-0.37719,0.12816,-0.05216,0.21828,413.4898376,-1.432864,0.296698,-0.579002,0.636379,-2.011866,26,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1
IOQIWWTVXOPYQR-CBAPKCEASA-N,N-benzoyl-DL-allothreonine; N-Benzoyl-DL-allothreonin; Benzoyl-DL-allothreonin,C[C@H](O)[C@H](NC(=O)c1ccccc1)C(O)=O,50,-0.649780609,E,25,244.569,223.229,177,-0.258721632,-0.265714753,-0.006993121,-0.094793,-0.10235,-0.007557,1.1208,1.3596,-0.37093,0.16216,-0.01816,0.21202,444.1194153,-2.173418,-0.023306,-0.572168,0.615526,-2.672366,29,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
IPCSVZSSVZVIGE-UHFFFAOYSA-N,1-hexadecylcarboxylic acid; Palmitic acid,CCCCCCCCCCCCCCCC(O)=O,100 g solvent dissolves. 7.30 g Substance.,-0.603140172,E,20,412.774,256.429,63.5,-0.270878687,-0.2747632,-0.003884513,0.091357,0.085928,-0.005429,2.1399,2.379,-0.3986,0.20066,0.02034,0.23969,650.0079956,-1.088354,-3.563577,-0.549344,0.662306,-1.088354,50,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
IPWFJLQDVFKJDU-UHFFFAOYSA-N,"pentamide; pentanoic acid[2,6-diethyl-2,3,6-trimethyl-1-(1-phenyl-ethoxy)-piperidin-4-yl]-amide; pentanoic acid amide; n-butanecarboxamide; valeric anhydride; n-valeramide; pentanamide",CCCCC(N)=O,100 g solvent dissolves. 0.51 g Substance.,-1.354883018,D,20,134.988,101.148,106,-0.109013613,-0.113919798,-0.004906185,-0.000881,-0.003408,-0.002527,3.8592,4.458,-0.3835,0.22343,0.04311,0.22459,303.3583984,-0.590425,-0.707188,-0.604424,0.628501,-1.194849,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IVSTXFYJHXMXFM-UHFFFAOYSA-N,"Chloralide of malic acid; (5-oxo-2-trichloromethyl-[1,3]dioxolan-4-yl)-acetic acid; (5-Oxo-2-trichlormethyl-[1,3]dioxolan-4-yl)-essigsaeure; 5-Carboxymethyl-2-trichlormethyl-1,3-dioxolan-4-on; 5-Methylcarboxy-2-trichlormethyl-1.3-dioxolan-4-on; Aepfelsaeurechloralid",OC(=O)CC1OC(OC1=O)C(Cl)(Cl)Cl,30,-0.94359673,E,20,141.617,263.462,141,-0.368105843,-0.374359012,-0.006253169,-0.307215,-0.313433,-0.006218,3.065,3.3303,-0.41168,0.15121,-0.02911,0.25277,390.6160889,-2.310156,1.242325,-0.521513,0.669371,-2.452267,19,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
IWYDHOAUDWTVEP-UHFFFAOYSA-N,MANDELIC ACID,OC(C(O)=O)c1ccccc1,0.746,-2.309533129,C,19,147.264,152.15,119,-0.174218276,-0.178349362,-0.004131087,-0.076398,-0.081024,-0.004626,2.2694,2.6072,-0.36504,0.17319,-0.00713,0.20613,329.4376526,-1.548013,-0.124108,-0.523367,0.574844,-1.548013,19,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,caprolactam; epsilon-caprolactam; epsilon-aminocaproic acid lactam; Hexahydro-2H-azepine-2-one; &epsilon;-caprolactam; hexahydro-2H-azepin-2-one; 2-oxo-hexamethyleneamine,O=C1CCCCCN1,412.899,0.56215473,F,22,151.448,113.159,69,-0.100070266,-0.105440253,-0.005369987,0.023952,0.018271,-0.005681,4.8145,5.5105,-0.3572,0.22742,0.0471,0.19829,291.3217163,-0.621655,-0.635108,-0.621655,0.618735,-1.121304,19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
JBLPFPMLHWDSFR-UHFFFAOYSA-N,"ethylpentachlorobenzene; ethyl-pentachloro-benzene; Aethyl-pentachlor-benzol; 2,3,4,5,6-Pentachlor-1-aethyl-benzol; Pentachlor-aethyl-benzol; Pentachlorphenyl-ethan",CCc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1 Mol solvent dissolves. 0.468 Mol Substance.,0.720043321,F,22.1,137.577,278.393,56,-0.034841544,-0.036703405,-0.001861861,0.024958,0.022686,-0.002272,1.9961,2.2475,-0.35418,0.138,-0.04232,0.19527,388.4431763,0,-0.755058,-0.446769,0.161184,-0.039019,18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
JCRIDWXIBSEOEG-UHFFFAOYSA-N,"2,6-dinitrophenol; 2,6-dinitrophenole; 2,4-dinitrophenol; 2,6-Dinitrophenol; 2,6-dinitro-phenol; 2.6-Dinitro-1-hydroxy-benzol; 2,6-dinitro phenol",Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,100 g solvent dissolves. 33.7 g Substance.,0.205061347,F,14,123.434,184.108,63,-0.045659427,-0.052335399,-0.006675972,0.020411,0.013188,-0.007223,4.5119,5.2211,-0.3943,0.09738,-0.08294,0.23539,324.0905762,-2.318746,-0.408004,-0.536842,0.893259,-0.532988,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
JDCXPRVWBPDZRZ-UHFFFAOYSA-N,(5-methyl-1(3)H-benzimidazol-2-yl)-p-tolyl-amine; (5-Methyl-1(3)H-benzimidazol-2-yl)-p-tolyl-amin,Cc1ccc(Nc2[nH]c3ccc(C)cc3n2)cc1,100 g solvent dissolves. 0.1 g Substance.,-2.432800953,C,15,279.776,237.304,197.5,0.096600492,0.093118162,-0.00348233,0.300576,0.296387,-0.004189,3.2955,3.1916,-0.30905,0.17248,-0.00784,0.15014,490.2055664,0,-1.505502,-0.504475,0.381688,-1.220443,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
JFCQEDHGNNZCLN-UHFFFAOYSA-N,"1,5-pentanedioic acid; Glutaric acid",OC(=O)CCCC(O)=O,100 g solvent dissolves. 0.0163 g Substance.,-2.966263706,C,25,134.556,132.116,98,-0.314946256,-0.321445677,-0.006499421,-0.229671,-0.2369,-0.007229,3.4075,3.9808,-0.42075,0.19243,0.01211,0.26184,317.4049683,-2.145022,0.332162,-0.544063,0.660621,-2.145022,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
JFLKFZNIIQFQBS-FNCQTZNRSA-N,"trans,trans-1,4-Diphenyl-1,3-butadiene; 1,4-Diphenyl-1E,3E-butadiene",c1ccc(cc1)\C=C\C=C\c2ccccc2,66.15,-0.493942012,E,19,255.618,206.287,152,0.117788439,0.11551785,-0.002270589,0.309779,0.307275,-0.002504,0.0002,0.0004,-0.31268,0.15396,-0.02636,0.15377,467.805481,0,-2.124219,-0.182959,0.156081,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
JLZUZNKTTIRERF-UHFFFAOYSA-N,"1,1,2,2-tetraphenylethylene; tetraphenylethylene; 1,1',1'',1'''-(1,2-ethenediylidene)tetrakisbenzene; 1,1,2,2-tetraphenylethene; 1,1,2,2-tetraphenyethene; tetrakisphenylethene; tetraphenyl ethylene",c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)c4ccccc4,48,-0.840478568,E,20,425.572,332.445,224.5,0.176199716,0.173641378,-0.002558337,0.475165,0.471331,-0.003834,0,0,-0.32066,0.17171,-0.00861,0.16175,600.7158203,0,-3.040719,-0.175048,0.158067,0,46,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
JMKXWKLOUNEPMY-UHFFFAOYSA-N,tetramethylenesulfonium dinitromethylide,O=N(=O)/C(N(=O)=O)=S/1CCCC1,0.077,-3.39725362,B,20,134.738,192.196,187,-0.039175853,-0.051095495,-0.011919641,0.058281,0.046097,-0.012184,9.1963,10.7503,-0.37557,0.15728,-0.02304,0.21666,341.5216064,-2.077377,-2.242576,-0.885461,0.967861,0.797889,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
