StdInChIKey,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,1st/2nd amine,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,alcohol,aldehyde,alkene,alkyne,amide,all aromatic,azo,unfused benzene ring,Br,carbonyl,carboxyl,Cl,aromatic C,ester,ether inc. ester,F,any halides,heterocyclic,H-bond acceptor,Acidic hydroxyl,H-bond donor,I,ketone,nitrile,nitro,aromatic N,aromatic O,P,at least 1 ring,S,sulfonamide,aromatic S,thioamide,thiol
HVYWMOMLDIMFJA-XWPGJHTNSA-N,CC(C)CCCC(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O,100 g solvent dissolves. 2.28 g Substance.,-1.242931359,C,18,524.036,386.662,147.75,-0.205406475,-0.212676591,-0.007270117,0.361871,0.352459,-0.009412,1.8117,2.1241,-0.33958,0.3282,0.05005,0.33979,695.5821533,-0.623565,-6.073099,-0.623565,0.326125,-0.623565,74,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
HWVAWHHNNDOXDU-PTHRTHQKSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC(C)C,4,-2.070758013,B,20,684.828,470.78,110,-0.307747524,-0.317136674,-0.00938915,0.359646,0.348307,-0.011339,2.397,3.4083,-0.33865,0.31343,0.03528,0.33886,845.333313,-1.103299,-6.792584,-0.599277,0.683247,-1.103299,88,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HXHWSAZORRCQMX-UHFFFAOYSA-N,CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,0.35,-2.879728133,B,25,289.966,265.336,207.9,-0.074834302,-0.091269046,-0.016434744,0.116888,0.096664,-0.020224,4.157,5.6577,-0.30227,0.2591,-0.01905,0.30248,518.3006592,-0.987858,-0.426038,-0.58085,0.725096,-2.33596,33,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
HXHZCOASPJWXPP-UHFFFAOYSA-N,c1cc2c(ccc(c2nc1)C(=O)O)[N+](=O)[O-],0.96,-2.356521808,B,25,166.835,218.169,213.5,-0.054336729,-0.070621592,-0.016284863,0.047031,0.030203,-0.016828,1.9698,2.1965,-0.38684,0.1959,-0.08225,0.38705,388.7033997,-2.011485,0.207416,-0.535501,0.839419,-1.530264,22,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
HYRNQHVQTJQLFS-UHFFFAOYSA-N,c1ccc(cc1)C(c1ccccc1)C(c1ccccc1)(c1ccccc1)O,0.45,-2.891425943,B,19,405.328,350.46,236,0.086857267,0.078097475,-0.008759792,0.409468,0.399162,-0.010306,1.5704,2.2005,-0.33884,0.28089,0.00274,0.33905,602.1501465,-0.589883,-3.07304,-0.589883,0.335012,-0.589883,49,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
HYXITZLLTYIPOF-UHFFFAOYSA-N,Cc1coc2c3ccc4c(CCCC4(C)C)c3C(=O)C(=O)c12,0.868333,-2.530177734,B,20.14,299.907,294.35,206.5,-0.116636697,-0.127495609,-0.010858912,0.137687,0.125335,-0.012352,4.945,7.2424,-0.33652,0.22344,-0.05471,0.33673,507.7442322,-1.14029,-1.852137,-0.532876,0.486092,-1.14029,40,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
HZKJLTIPRKRDQX-CCEZHUSRSA-N,CCCCCCCCC/C=C/C(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.22 g Substance.,-2.440378684,B,20,652.043,478.678,125.5,-0.101206733,-0.119001624,-0.017794891,0.427829,0.408513,-0.019316,5.1965,10.6524,-0.29391,0.26612,-0.01203,0.29412,949.3168945,-1.179009,-3.913437,-0.599908,0.727805,-2.701516,77,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IACQEQUFUZZDDN-UHFFFAOYSA-N,C(CCCCCNCCCCN)CCCCC(=O)O,0.8,-2.532166538,B,20,407.95,272.431,136,-0.232850031,-0.251593744,-0.018743714,0.132055,0.111199,-0.020856,3.5203,3.4674,-0.32895,0.29817,0.02002,0.32916,664.1154175,-1.119074,-2.818732,-0.577607,0.677975,-2.145672,51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IAHOUQOWMXVMEH-UHFFFAOYSA-N,c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],100 g solvent dissolves. 0.127 g Substance.,-2.357119443,B,19.5,137.102,228.121,190.25,0.006227285,-0.013529258,-0.019756543,0.083785,0.06149,-0.022295,3.4144,5.3368,-0.39747,0.18582,-0.09233,0.39768,366.0229187,-3.025612,-0.371864,-0.522289,0.902784,-0.655743,20,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
ICYIIEFSHYSYRV-UHFFFAOYSA-N,COC(=O)NC(=O)N,1.4,-1.926092442,C,17,105.453,118.092,214,-0.205632804,-0.225773304,-0.0201405,-0.148565,-0.167803,-0.019238,5.3951,7.6837,-0.40128,0.27054,-0.00761,0.40149,288.2120361,-1.602564,1.32254,-0.59998,0.754607,-2.73729,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IDHNIUGMDFDUQG-UHFFFAOYSA-N,CCOc1ccc(c(c1)n1nc2ccccc2n1)NC(=O)C,51,-0.764203979,D,25,272.406,296.329,184,0.031108757,0.015871271,-0.015237487,0.258029,0.240712,-0.017317,1.5153,2.6692,-0.31419,0.23545,-0.0427,0.3144,566.9954834,-1.025415,-1.10179,-0.624391,0.679607,-1.900584,38,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCn1cc(c(=O)c2cc(c(nc12)N1CCNCC1)F)C(=O)O,0.47,-2.833490265,B,25,253.932,320.323,222,-0.19565796,-0.225731588,-0.030073628,0.045394,0.016266,-0.029128,7.7289,11.393,-0.33407,0.23832,-0.03983,0.33428,520.0933838,-1.731614,0.130929,-0.624244,0.738169,-3.232501,40,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
IJSFSTLDSVKADA-UHFFFAOYSA-N,C(CCCCCNCCCCCCCCN)CCCCC(=O)O,2.2,-2.17416425,B,20,511.529,328.539,146,-0.264753552,-0.284060221,-0.019306668,0.192929,0.174756,-0.018173,3.137,3.4702,-0.32787,0.29803,0.01988,0.32808,788.8233643,-1.119018,-3.88337,-0.577613,0.677969,-2.147773,63,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IKCLCGXPQILATA-UHFFFAOYSA-N,c1ccc(c(c1)C(=O)O)Cl,176.533,0.052120124,E,25,103.268,156.569,140,-0.114629302,-0.123103339,-0.008474037,-0.053078,-0.061229,-0.008151,3.6914,5.1335,-0.36449,0.23988,-0.03827,0.3647,306.8141174,-1.094957,0.095508,-0.560669,0.68399,-1.16249,15,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IKIIZLYTISPENI-ZFORQUDYSA-N,c1ccc(cc1)c1cc(=O)c2c(cc(c(c2O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O2)O)O)O)o1,1.46141,-2.484920005,B,25.04,361.294,446.367,223,-0.618881801,-0.654824391,-0.03594259,-0.346201,-0.383189,-0.036988,5.0144,8.0713,-0.32526,0.23222,-0.04593,0.32547,658.7357788,-5.453154,1.095519,-0.617211,0.681123,-5.453154,50,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
IMNIMPAHZVJRPE-UHFFFAOYSA-N,C1CN2CCN1CC2,Solubility: 0.929 molpercent,-0.798443109,D,24.99,166.074,112.175,157.5,0.008246134,0.001000913,-0.007245222,0.147848,0.140181,-0.007667,0,0.0067,-0.31352,0.37235,0.0942,0.31373,283.6414185,0,-1.146129,-0.300393,0.145743,-0.600785,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IMTAQIPVTJOORO-UHFFFAOYSA-N,CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,0.061,-3.692187894,A,25,244.054,300.274,245,0.093695791,0.076355403,-0.017340388,0.279003,0.25972,-0.019283,9.4007,12.5249,-0.34922,0.21402,-0.06413,0.34943,530.142334,-2.095617,-1.526852,-0.564698,0.899819,-0.77704,34,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
IOGCSUPDVDJIOL-CAPFRKAQSA-N,c1ccc(cc1)/C=C(\c1ccccc1)/C(=O)c1ccccc1,12,-1.374682678,C,20,309.771,284.357,100.575,0.090119894,0.081579328,-0.008540566,0.32617,0.316497,-0.009673,3.2158,4.6142,-0.33624,0.25393,-0.02422,0.33645,539.9334717,-0.536683,-2.017629,-0.536683,0.573919,-0.536683,38,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
IOPCEPCSTBOTEG-UHFFFAOYSA-N,c1ccc(c(c1)Cl)OP(=O)(O)Oc1ccccc1Cl,726,0.357035676,E,25,216.077,319.081,115,-0.308679584,-0.324763977,-0.016084394,-0.18025,-0.199118,-0.018868,0.938,2.8213,-0.35027,0.25636,-0.02179,0.35048,488.0716858,-2.691686,-0.839475,-0.820736,1.821945,-0.971017,28,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
IOYHCQBYQJQBSK-UHFFFAOYSA-N,c1cc(c(cc1c1coc2cc(cc(c2c1=O)O)O)O)O,22 mg solvent dissolves. 1 mg Substance.,-0.901912418,D,18,240.029,286.241,271.5,-0.309159951,-0.325853526,-0.016693576,-0.149017,-0.168582,-0.019565,3.9045,4.7622,-0.32195,0.23965,-0.0385,0.32216,477.8461914,-2.81191,0.159483,-0.65752,0.667664,-2.81191,31,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
IQHYCZKIFIHTAI-UHFFFAOYSA-N,c1cc(ccc1Cl)N1CC(=NC1=O)N1CCOCC1,0.86,-2.512234384,B,20,275.869,279.726,264,-0.05871795,-0.082366829,-0.023648879,0.137321,0.112216,-0.025105,7.2094,11.693,-0.32104,0.24964,-0.02851,0.32125,487.7722168,-1.036326,-0.003682,-0.654235,0.721032,-2.448498,33,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IQUIXDAEZQWEKG-UHFFFAOYSA-N,c1cc(ccc1C(=O)OCC(CO)O)Br,160.5,-0.234013975,D,26,204.636,275.099,73,-0.243651361,-0.254805932,-0.011154572,-0.109357,-0.122672,-0.013315,2.3949,2.4018,-0.37591,0.23178,-0.04637,0.37612,442.6453247,-2.133677,0.015202,-0.568852,0.659748,-2.222908,26,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IQUPABOKLQSFBK-UHFFFAOYSA-N,c1ccc(c(c1)[N+](=O)[O-])O,100 g solvent dissolves. 46.0 g Substance.,0.416638462,E,25,110.491,139.111,44.925,-0.049025956,-0.056917067,-0.007891112,0.018152,0.009048,-0.009104,4.303,5.6672,-0.36628,0.22164,-0.05651,0.36649,290.6195984,-1.517157,-0.484561,-0.570078,0.898643,-0.618514,15,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
IRGJVQIJENCTQF-UHFFFAOYSA-N,CCOc1c2c(c(c(c1OCC)OCC)N)C(=O)OC2C1c2c(CCN1C)cc1c(c2OC)OCO1,2.5,-2.301506589,B,20,499.325,500.549,184,-0.423598423,-0.449164781,-0.025566358,0.014257,-0.012692,-0.026949,5.9667,8.788,-0.31138,0.26393,-0.01422,0.31159,732.4092407,-3.465054,-1.093721,-0.584355,0.724134,-4.240248,68,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISXYVHLPQGBMLC-VOTSOKGWSA-N,C/C=C/C(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.08 g Substance.,-2.763698043,B,20,433.487,366.463,149,-0.032923443,-0.056610395,-0.023686951,0.303604,0.280722,-0.022882,3.4634,7.5396,-0.30017,0.27538,-0.00277,0.30038,695.5872803,-1.187599,-1.801125,-0.598106,0.721114,-2.705736,53,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IVKQJUBXBBNKPH-QVIHXGFCSA-N,c1ccc(cc1)/N=N/c1ccc(c2ccccc12)N(c1ccccc1)c1ccccc1,1.86162,-2.331620312,B,25,438.826,399.495,144.3,0.274101924,0.266110076,-0.007991848,0.604437,0.595487,-0.00895,0.3139,0.3963,-0.29719,0.23299,-0.04516,0.2974,703.8311768,0,-2.812822,-0.370569,0.231141,-0.66223,52,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IVPCDWBBGQCALV-FYWRMAATSA-N,c1ccc2c(c1)C(=Nc1ccccc1[N+](=O)[O-])OC2=O,15.1,-1.249528783,C,20,212.075,268.229,163,-0.000200649,-0.016580928,-0.016380279,0.141414,0.123549,-0.017865,5.4992,7.3125,-0.3633,0.21698,-0.06117,0.36351,471.941803,-1.95858,0.049334,-0.514671,0.881015,-1.483163,28,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IYMKCOHANMHPFF-UHFFFAOYSA-N,c1ccc(cc1)N=Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],3.01068,-1.954676329,C,22,226.28,271.232,133,0.109710995,0.092968638,-0.016742357,0.257086,0.240296,-0.01679,5.5941,6.6325,-0.35466,0.19418,-0.08397,0.35487,485.6002808,-1.951513,-1.080037,-0.491658,0.870352,-0.521069,29,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IZRWUWHABJCDLX-UHFFFAOYSA-N,CC(=O)CC(c1ccccc1)C(CC(=O)C)c1ccccc1,2.5,-2.070987471,B,15,313.1,294.393,161,-0.0872244,-0.103677077,-0.016452677,0.197655,0.181312,-0.016343,0.902,2.1506,-0.34309,0.29083,0.01268,0.3433,559.1860352,-1.155912,-2.706066,-0.655465,0.649442,-1.155912,44,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
IZUJKJITGMXRDU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCNC(=O)CCCCC(=O)O,1.9,-2.30514198,B,17,545.461,383.615,120,-0.380407252,-0.39870097,-0.018293718,0.142879,0.128823,-0.014056,3.0762,3.8114,-0.3607,0.29712,0.01897,0.36091,890.1119995,-1.777993,-4.504991,-0.657816,0.678901,-2.276505,72,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IZUKQUVSCNEFMJ-UHFFFAOYSA-N,c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-],0.3,-2.74846971,B,25,122.36,168.109,117.875,0.040904871,0.025973389,-0.014931482,0.103374,0.089743,-0.013631,7.446,10.0475,-0.41558,0.20359,-0.07456,0.41579,321.0485229,-1.877378,-0.568827,-0.480311,0.841238,-0.194967,16,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IZZVKENIUWWBHF-BUHFOSPRSA-N,CCCCCCCC/C=C/C(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.10 g Substance.,-2.769884773,B,20,575.416,464.651,127.5,-0.09227439,-0.110998741,-0.018724351,0.412711,0.393734,-0.018977,6.753,10.5355,-0.2934,0.26557,-0.01258,0.29361,915.1430054,-1.175459,-3.650881,-0.591647,0.726777,-2.699834,74,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JAFTYXPDTZSKST-UHFFFAOYSA-N,CCOC1(C(c2ccccc2)Br)C(=O)N(C)C(=O)N1,6.4,-1.708604119,C,20,247.693,327.178,179.5,-0.156715026,-0.172295831,-0.015580805,0.035475,0.020405,-0.01507,2.2182,3.3121,-0.35754,0.24614,-0.03201,0.35775,495.2564392,-1.475017,0.025609,-0.595572,0.717749,-2.669518,34,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JCEMNGURUDMGBM-UHFFFAOYSA-N,C1CCC(CC1)C(=O)N(C1CCCCC1)O,38.597,-0.766267394,D,25,338.665,225.331,176,-0.15868579,-0.166428709,-0.007742919,0.12104,0.112156,-0.008884,2.1704,3.1395,-0.35221,0.29154,0.01339,0.35242,468.3497009,-0.987231,-2.145027,-0.575248,0.57584,-1.251448,39,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JCEXJKGPRTWMSQ-UHFFFAOYSA-N,CC(C(=NNC(=O)N)C)c1ccccc1,9.0909,-1.353697444,C,20,258.829,205.26,150,-0.013670988,-0.028036181,-0.014365193,0.169667,0.154427,-0.01524,4.0606,5.6758,-0.33924,0.28392,0.00577,0.33945,440.3656921,-0.650003,-1.028696,-0.650003,0.688794,-1.833129,30,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JCRIDWXIBSEOEG-UHFFFAOYSA-N,c1cc(c(c(c1)[N+](=O)[O-])O)[N+](=O)[O-],100 g solvent dissolves. 5.5 g Substance.,-0.627467868,D,14,120.606,184.108,62.1,-0.045658924,-0.060603939,-0.014945015,0.020417,0.004114,-0.016303,4.5071,6.1502,-0.39429,0.19522,-0.08293,0.3945,324.1287537,-2.422778,-0.350319,-0.549536,0.90916,-0.609288,17,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
JDCXPRVWBPDZRZ-UHFFFAOYSA-N,Cc1ccc(cc1)Nc1[nH]c2ccc(C)cc2n1,100 g solvent dissolves. 3.4 g Substance.,-0.946584039,D,15,298.401,237.304,197.5,0.099976222,0.08329092,-0.016685302,0.305342,0.28777,-0.017572,2.4146,4.2228,-0.30174,0.27231,-0.00584,0.30195,491.5457458,0,-1.571047,-0.513384,0.386406,-1.245026,33,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JDTWZSUNGHMMJM-FSPLSTOPSA-N,CC[C@H](C)[C@@H](C(=O)O)NC(=O)C,896,0.713730033,E,20,223.416,173.212,144.75,-0.262934643,-0.276889782,-0.013955139,-0.099291,-0.115975,-0.016684,2.7667,4.4627,-0.37272,0.28955,0.0114,0.37293,391.6879883,-1.719101,-0.642564,-0.634361,0.67562,-2.225524,27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JEPXWPONFKFPCB-UHFFFAOYSA-N,c1cc2c(Cc3cc(ccc23)N)cc1Cl,60 g solvent dissolves. 1 g Substance.,-1.21472305,C,18,204.232,215.682,136.5,0.055346815,0.047047051,-0.008299763,0.199124,0.189803,-0.009321,4.7736,6.3193,-0.29691,0.268,-0.01015,0.29712,409.56073,0,-1.326809,-0.515061,0.366036,-0.640454,25,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JFNWFXVFBDDWCX-UHFFFAOYSA-N,Cc1c(C)noc1N(C(=O)C)S(=O)(=O)c1ccc(cc1)N,5.7,-1.734569649,C,20,298.66,309.346,193.5,-0.160084892,-0.186163228,-0.026078335,0.040747,0.00961,-0.031137,4.5196,6.819,-0.33825,0.26279,-0.01536,0.33846,515.74823,-2.667511,-1.472872,-0.977756,2.612583,-1.517425,36,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
JGCSKOVQDXEQHI-UHFFFAOYSA-N,c1ccc2c(c1)nc1cccc(c1n2)C(=O)O,1.435,-2.19382051,B,25.04,207.794,224.219,241,0.005949672,-0.011066433,-0.017016105,0.139876,0.120248,-0.019628,2.1784,3.0785,-0.35098,0.20931,-0.06884,0.35119,423.2443542,-1.068582,0.061964,-0.549275,0.691122,-1.673264,25,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JGOAZQAXRONCCI-UHFFFAOYSA-N,c1ccc(cc1)C=NNc1ccccc1,14.22,-1.139914495,C,24,245.606,196.252,156,0.134357166,0.126208195,-0.00814897,0.299637,0.291701,-0.007936,1.734,2.4368,-0.30118,0.26454,-0.01361,0.30139,432.3316345,0,-1.635157,-0.329478,0.278203,-0.421233,27,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JGRXMPYUTJLTKT-UHFFFAOYSA-N,c1cc(cc(c1)Cl)c1cc(c(C(=O)NCC(=O)O)nc1)O,34,-0.955241939,D,22,247.116,306.705,175.8,-0.208111604,-0.222797749,-0.014686145,-0.044301,-0.061062,-0.016761,2.1307,5.7497,-0.35611,0.22971,-0.04844,0.35632,528.1494141,-2.1908,0.283886,-0.647559,0.639587,-2.8884,32,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JGVTUAUTAMXVAF-UHFFFAOYSA-N,Cc1cccc2cc(C(=O)O)c(=O)oc12,22.8,-0.952082606,D,14,138.904,204.182,154,-0.209044622,-0.223284493,-0.014239871,-0.094385,-0.109269,-0.014884,4.8243,7.4101,-0.3564,0.21386,-0.06429,0.35661,386.9653931,-1.992939,0.40827,-0.577864,0.72197,-1.992939,23,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
JIAUERZQPRONCY-UHFFFAOYSA-N,CCC(CC)OC(=O)NC(=O)N,9.96,-1.242788812,C,18,240.698,174.2,175.5,-0.246995396,-0.266601565,-0.019606169,-0.093232,-0.114775,-0.021543,5.0931,7.9151,-0.39785,0.27767,-0.00048,0.39806,399.7017822,-1.664189,0.185552,-0.594392,0.767038,-2.807355,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JJSPNRXDWGKSHD-UHFFFAOYSA-N,COc1ccc(c(c1)OC)/N=C/c1ccc(cc1N(=O)=O)N(=O)=O,0.198771,-3.22184875,A,22,264.811,331.285,173,-0.01976179,-0.041488043,-0.021726252,0.177544,0.154357,-0.023187,9.1039,9.8514,-0.3291,0.20342,-0.07473,0.32931,571.2886353,-2.703966,-1.125288,-0.546712,0.87361,-1.179613,37,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
JKFZKHRPJOYSAM-UHFFFAOYSA-N,C(CCNC(=O)N)CC(=O)O,1.22,-2.118229479,B,25,204.514,160.173,178.75,-0.243215864,-0.263530681,-0.020314816,-0.111418,-0.134636,-0.023218,5.7546,7.8594,-0.35942,0.29264,0.01449,0.35963,382.3146667,-1.807809,0.404426,-0.691289,0.705956,-2.946934,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JLHPNRSNIVUKGA-UHFFFAOYSA-N,CC(C(=O)O)NC(=O)Nc1cccc2ccccc12,100 g solvent dissolves. 1.08 g Substance.; <alpha-naphthylaminoformyl>-dl-alanine,-1.481419875,C,25,259.805,258.277,199,-0.155631095,-0.172695993,-0.017064898,0.035295,0.016526,-0.018769,2.6744,4.5912,-0.315,0.25716,-0.02099,0.31521,495.3642273,-1.692133,-0.153,-0.618667,0.715236,-2.723015,33,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
