StdInChIKey,Smile,Sol,LogS,Sol_cat,T,Volume,MW,MP,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,gas_dip,solv_dip,HOMO,LsoluHsolv,LUMO,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Longest_chain,1st/2nd amine,3 membered ring,4 membered ring,5 membered ring,6 membered ring,7 membered ring,alcohol,aldehyde,alkene,alkyne,amide,all aromatic,azo,unfused benzene ring,Br,carbonyl,carboxyl,Cl,aromatic C,ester,ether inc. ester,F,any halides,heterocyclic,H-bond acceptor,Acidic hydroxyl,H-bond donor,I,ketone,nitrile,nitro,aromatic N,aromatic O,P,at least 1 ring,S,sulfonamide,aromatic S,thioamide,thiol
IACQEQUFUZZDDN-UHFFFAOYSA-N,C(CCCCCNCCCCN)CCCCC(=O)O,0.8,-2.532166538,B,20,257.664,272.431,136,-850.8749235,-850.8904722,-0.015548665,-850.465385,-850.481691,-0.016306,2.806,3.8475,-0.2245,0.27186,-0.00629,0.22471,663.2411499,-1.38029,-5.19036,-0.95135,0.83191,-3.0616,51,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IAHOUQOWMXVMEH-UHFFFAOYSA-N,c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],100 g solvent dissolves. 0.127 g Substance.,-2.357119443,B,19.5,127.459,228.121,190.25,-901.1451998,-901.1619185,-0.016718711,-901.061466,-901.079203,-0.017737,3.1827,4.5832,-0.29194,0.12718,-0.15097,0.29215,364.7585754,-2.42608,0.0891,-0.73066,0.50191,-1.6517,20,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
ICYIIEFSHYSYRV-UHFFFAOYSA-N,COC(=O)NC(=O)N,1.4,-1.926092442,C,17,82.129,118.092,214,-453.1584654,-453.179952,-0.021486567,-453.087364,-453.10791,-0.020546,5.9535,8.0517,-0.27632,0.25632,-0.02183,0.27653,286.2536926,-1.90587,1.42796,-0.87529,0.94878,-3.49,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IDHNIUGMDFDUQG-UHFFFAOYSA-N,CCOc1ccc(c(c1)n1nc2ccccc2n1)NC(=O)C,51,-0.764203979,D,25,224.943,296.329,184,-988.8170951,-988.8294417,-0.01234667,-988.564071,-988.576434,-0.012363,2.561,3.5167,-0.21552,0.19522,-0.08293,0.21573,554.0015259,-1.23836,-1.88711,-0.76798,0.69084,-2.41133,38,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
IDYZIJYBMGIQMJ-UHFFFAOYSA-N,CCn1cc(c(=O)c2cc(c(nc12)N1CCNCC1)F)C(=O)O,0.47,-2.833490265,B,25,236.882,320.323,222,-1126.41566,-1126.438741,-0.02308109,-1126.145373,-1126.168788,-0.023415,6.8331,10.0515,-0.22719,0.20785,-0.0703,0.2274,528.2703247,-2.04805,-0.22424,-0.7292,0.80766,-4.50529,40,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
IJSFSTLDSVKADA-UHFFFAOYSA-N,C(CCCCCNCCCCCCCCN)CCCCC(=O)O,2.2,-2.17416425,B,20,306.874,328.539,146,-1008.133712,-1008.149157,-0.01544545,-1007.618609,-1007.631922,-0.013313,2.8024,3.8764,-0.22374,0.27188,-0.00627,0.22395,789.5905151,-1.37647,-7.03289,-0.94771,0.83182,-3.05257,63,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IKCLCGXPQILATA-UHFFFAOYSA-N,c1ccc(c(c1)C(=O)O)Cl,176.533,0.052120124,E,25,107.68,156.569,140,-880.4269169,-880.4357444,-0.008827553,-880.357033,-880.363051,-0.006018,3.393,4.7404,-0.26492,0.20489,-0.07326,0.26513,307.6620789,-1.35545,-0.2751,-0.7272,0.81221,-1.33244,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IKIIZLYTISPENI-ZFORQUDYSA-N,c1ccc(cc1)c1cc(=O)c2c(cc(c(c2O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O2)O)O)O)o1,1.46141,-2.484920005,B,25.04,295.557,446.367,223,-1638.576134,-1638.604624,-0.02849038,-1638.262353,-1638.290254,-0.027901,5.6296,7.8229,-0.22788,0.1897,-0.08845,0.22809,665.4055176,-7.42556,1.17405,-0.78954,0.81933,-7.42556,50,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
IMNIMPAHZVJRPE-UHFFFAOYSA-N,C1CN2CCN1CC2,Solubility: 0.929 molpercent,-0.798443109,D,24.99,100.989,112.175,157.5,-345.3394573,-345.3454358,-0.00597848,-345.18576,-345.191674,-0.005914,0.0013,0.0012,-0.19036,0.28406,0.00591,0.19057,281.630127,0,-1.81108,-0.53893,0.24077,-1.07786,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IMTAQIPVTJOORO-UHFFFAOYSA-N,CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,0.061,-3.692187894,A,25,175.196,300.274,245,-1060.447277,-1060.462951,-0.01567472,-1060.243475,-1060.259698,-0.016223,8.5857,11.4804,-0.23955,0.15723,-0.12092,0.23976,518.5296021,-1.69271,-2.03325,-0.76665,0.4939,-1.3821,34,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
IOGCSUPDVDJIOL-CAPFRKAQSA-N,c1ccc(cc1)/C=C(\c1ccccc1)/C(=O)c1ccccc1,12,-1.374682678,C,20,218.193,284.357,100.575,-885.1143915,-885.1247901,-0.010398611,-884.85697,-884.867909,-0.010939,3.3466,4.6774,-0.23078,0.19579,-0.08236,0.23099,540.7046509,-0.60496,-3.47022,-0.60496,0.55887,-0.60496,38,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
IOPCEPCSTBOTEG-UHFFFAOYSA-N,c1ccc(c(c1)Cl)OP(=O)(O)Oc1ccccc1Cl,726,0.357035676,E,25,200.831,319.081,115,-2025.442172,-2025.454731,-0.01255942,-2025.300509,-2025.313502,-0.012993,2.7888,4.0121,-0.25845,0.23966,-0.03849,0.25866,486.0161438,-3.76404,-1.57378,-1.10235,2.61423,-1.1242,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
IOYHCQBYQJQBSK-UHFFFAOYSA-N,c1cc(c(cc1c1coc2cc(cc(c2c1=O)O)O)O)O,22 mg solvent dissolves. 1 mg Substance.,-0.901912418,D,18,204.751,286.241,271.5,-1028.994158,-1029.012448,-0.01828982,-1028.813243,-1028.832473,-0.01923,1.6506,2.7123,-0.219,0.20875,-0.0694,0.21921,473.3426819,-4.02084,0.32334,-0.7388,0.53612,-4.02084,31,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
IQHYCZKIFIHTAI-UHFFFAOYSA-N,c1cc(ccc1Cl)N1CC(=NC1=O)N1CCOCC1,0.86,-2.512234384,B,20,173.2,279.726,264,-1278.748064,-1278.77044,-0.02237603,-1278.530629,-1278.552877,-0.022248,7.3138,10.5437,-0.22296,0.23359,-0.04456,0.22317,486.1578369,-1.28955,-0.75929,-0.6817,0.80562,-2.86406,33,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IQUIXDAEZQWEKG-UHFFFAOYSA-N,c1cc(ccc1C(=O)OCC(CO)O)Br,160.5,-0.234013975,D,26,200.652,275.099,73,-3260.338032,-3260.352366,-0.01433392,-3260.182203,-3260.197342,-0.015139,3.8043,4.4849,-0.2587,0.21218,-0.06597,0.25891,444.5896301,-2.80244,-0.57376,-0.80818,0.82083,-2.73367,26,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IQUPABOKLQSFBK-UHFFFAOYSA-N,c1ccc(c(c1)[N+](=O)[O-])O,100 g solvent dissolves. 46.0 g Substance.,0.416638462,E,25,92.361,139.111,44.925,-511.9990214,-512.0066347,-0.007613202,-511.923791,-511.931793,-0.008002,4.0457,5.3576,-0.26313,0.16163,-0.11652,0.26334,288.7175903,-1.54625,-0.57048,-0.69184,0.53575,-1.04709,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
IRGJVQIJENCTQF-UHFFFAOYSA-N,CCOc1c2c(c(c(c1OCC)OCC)N)C(=O)OC2C1c2c(CCN1C)cc1c(c2OC)OCO1,2.5,-2.301506589,B,20,344.173,500.549,184,-1721.331803,-1721.351011,-0.01920723,-1720.841895,-1720.861362,-0.019467,6.2813,9.4292,-0.20085,0.2386,-0.03955,0.20106,731.4055786,-4.61963,-1.96152,-0.84523,0.81009,-6.03021,68,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISXYVHLPQGBMLC-VOTSOKGWSA-N,C/C=C/C(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.08 g Substance.,-2.763698043,B,20,296.586,366.463,149,-1185.385073,-1185.404458,-0.01938481,-1185.00507,-1185.024305,-0.019235,5.9218,8.8294,-0.18575,0.23536,-0.04279,0.18596,693.5546265,-1.32889,-3.13854,-0.72871,0.83262,-3.45961,53,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
IVKQJUBXBBNKPH-QVIHXGFCSA-N,c1ccc(cc1)/N=N/c1ccc(c2ccccc12)N(c1ccccc1)c1ccccc1,1.86162,-2.331620312,B,25,287.251,399.495,144.3,-1243.892921,-1243.901646,-0.008725,-1243.535022,-1243.544198,-0.009176,0.5516,1.0255,-0.19596,0.18235,-0.0958,0.19617,697.1878662,0,-4.47302,-0.4835,0.26412,-0.90707,52,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IVPCDWBBGQCALV-FYWRMAATSA-N,c1ccc2c(c1)C(=Nc1ccccc1[N+](=O)[O-])OC2=O,15.1,-1.249528783,C,20,201.233,268.229,163,-948.6520142,-948.6677478,-0.015733571,-948.498505,-948.51433,-0.015825,4.5896,6.3675,-0.25904,0.17194,-0.10621,0.25925,467.7276917,-1.9204,-0.29335,-0.56784,0.81778,-1.86342,28,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IYMKCOHANMHPFF-UHFFFAOYSA-N,c1ccc(cc1)N=Cc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],3.01068,-1.954676329,C,22,190.387,271.232,133,-965.7792562,-965.7927757,-0.013519472,-965.618305,-965.632325,-0.01402,5.5909,6.3727,-0.25524,0.14059,-0.13756,0.25545,483.9518433,-1.5517,-1.41547,-0.42141,0.502,-0.96932,29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IZRWUWHABJCDLX-UHFFFAOYSA-N,CC(=O)CC(c1ccccc1)C(CC(=O)C)c1ccccc1,2.5,-2.070987471,B,15,278.068,294.393,161,-925.8644703,-925.8807846,-0.016314347,-925.550416,-925.566098,-0.015682,0.6719,2.6333,-0.24396,0.24406,-0.03409,0.24417,560.5309448,-1.22114,-4.4564,-0.77685,0.60719,-1.22114,44,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
IZUJKJITGMXRDU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCNC(=O)CCCCC(=O)O,1.9,-2.30514198,B,17,362.665,383.615,120,-1184.087042,-1184.109479,-0.02243664,-1183.500669,-1183.523582,-0.022913,3.834,4.1235,-0.25853,0.26133,-0.01682,0.25874,894.8740234,-2.08168,-8.40647,-0.73255,0.83066,-2.73763,72,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IZUKQUVSCNEFMJ-UHFFFAOYSA-N,c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-],0.3,-2.74846971,B,25,106.504,168.109,117.875,-641.2584548,-641.271891,-0.013436196,-641.189539,-641.203253,-0.013714,7.1662,9.5137,-0.30516,0.15096,-0.12719,0.30537,319.1059875,-1.50622,-0.63241,-0.37746,0.50461,-0.497,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IZZVKENIUWWBHF-BUHFOSPRSA-N,CCCCCCCC/C=C/C(=O)N(c1ccc(cc1)N(C)C)C(=O)Nc1ccc(cc1)N(C)C,100 g solvent dissolves. 0.10 g Substance.,-2.769884773,B,20,374.735,464.651,127.5,-1460.59591,-1460.613099,-0.01718902,-1460.030357,-1460.048368,-0.018011,4.0266,4.888,-0.17801,0.22133,-0.05682,0.17822,913.2219849,-1.36442,-6.34114,-0.68803,0.83531,-3.49337,74,7,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JAFTYXPDTZSKST-UHFFFAOYSA-N,CCOC1(C(c2ccccc2)Br)C(=O)N(C)C(=O)N1,6.4,-1.708604119,C,20,222.97,327.178,179.5,-3411.393335,-3411.409664,-0.01632875,-3411.172788,-3411.189529,-0.016741,2.3978,3.7815,-0.26074,0.2282,-0.04995,0.26095,495.0263062,-1.84938,-0.958,-0.70783,0.84453,-3.05913,34,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JCEMNGURUDMGBM-UHFFFAOYSA-N,C1CCC(CC1)C(=O)N(C1CCCCC1)O,38.597,-0.766267394,D,25,177.636,225.331,176,-714.4343674,-714.4432585,-0.008891141,-714.125477,-714.135363,-0.009886,2.8153,4.2945,-0.24706,0.26381,-0.01434,0.24727,467.8899841,-1.28502,-4.41356,-0.68601,0.70171,-1.47957,39,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JCEXJKGPRTWMSQ-UHFFFAOYSA-N,CC(C(=NNC(=O)N)C)c1ccccc1,9.0909,-1.353697444,C,20,195.643,205.26,150,-667.7111517,-667.7256131,-0.014461344,-667.504692,-667.519368,-0.014676,4.406,5.8495,-0.23985,0.2481,-0.03005,0.24006,437.7133789,-0.73328,-1.93607,-0.88697,0.79546,-2.42719,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JCRIDWXIBSEOEG-UHFFFAOYSA-N,c1cc(c(c(c1)[N+](=O)[O-])O)[N+](=O)[O-],100 g solvent dissolves. 5.5 g Substance.,-0.627467868,D,14,115.627,184.108,62.1,-716.4934581,-716.5070997,-0.013641602,-716.420502,-716.434428,-0.013926,4.3696,5.8716,-0.28955,0.13879,-0.13936,0.28976,325.4781494,-2.251,-0.15516,-0.65849,0.53977,-1.24356,17,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
JDCXPRVWBPDZRZ-UHFFFAOYSA-N,Cc1ccc(cc1)Nc1[nH]c2ccc(C)cc2n1,100 g solvent dissolves. 3.4 g Substance.,-0.946584039,D,15,189.901,237.304,197.5,-744.9371845,-744.9520535,-0.014868986,-744.713877,-744.728235,-0.014358,3.7443,5.6468,-0.19499,0.25502,-0.02313,0.1952,488.9723511,0,-2.35588,-0.70015,0.59255,-1.79913,33,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JDTWZSUNGHMMJM-FSPLSTOPSA-N,CC[C@H](C)[C@@H](C(=O)O)NC(=O)C,896,0.713730033,E,20,134.241,173.212,144.75,-594.3733353,-594.3862397,-0.012904424,-594.184411,-594.198056,-0.013645,2.5163,3.5896,-0.26144,0.25162,-0.02653,0.26165,389.4545593,-2.0611,-1.53608,-0.76657,0.83144,-2.71617,27,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JEPXWPONFKFPCB-UHFFFAOYSA-N,c1cc2c(Cc3cc(ccc23)N)cc1Cl,60 g solvent dissolves. 1 g Substance.,-1.21472305,C,18,175.385,215.682,136.5,-1016.391917,-1016.401133,-0.00921593,-1016.235649,-1016.245012,-0.009363,4.8347,6.2364,-0.19415,0.24294,-0.03521,0.19436,410.3166199,0,-2.02503,-0.86076,0.43425,-0.89079,25,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JFNWFXVFBDDWCX-UHFFFAOYSA-N,Cc1c(C)noc1N(C(=O)C)S(=O)(=O)c1ccc(cc1)N,5.7,-1.734569649,C,20,215.421,309.346,193.5,-1367.696229,-1367.7182,-0.02197081,-1367.47242,-1367.495645,-0.023225,3.4137,4.9357,-0.23404,0.22225,-0.0559,0.23425,516.8983765,-2.83788,-2.08919,-0.94733,2.30444,-2.27127,36,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
JGCSKOVQDXEQHI-UHFFFAOYSA-N,c1ccc2c(c1)nc1cccc(c1n2)C(=O)O,1.435,-2.19382051,B,25.04,164.275,224.219,241,-760.1972194,-760.2112942,-0.014074766,-760.050146,-760.06595,-0.015804,1.6589,2.3597,-0.24229,0.16617,-0.11198,0.2425,413.2749939,-1.34598,-0.22403,-0.72331,0.81595,-2.15246,25,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JGOAZQAXRONCCI-UHFFFAOYSA-N,c1ccc(cc1)C=NNc1ccccc1,14.22,-1.139914495,C,24,167.272,196.252,156,-612.1045905,-612.1132641,-0.008673604,-611.925922,-611.934481,-0.008559,1.8092,2.7782,-0.19743,0.22239,-0.05576,0.19764,433.5906372,0,-2.46478,-0.41185,0.41208,-0.67041,27,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JGRXMPYUTJLTKT-UHFFFAOYSA-N,c1cc(cc(c1)Cl)c1cc(c(C(=O)NCC(=O)O)nc1)O,34,-0.955241939,D,22,175.318,306.705,175.8,-1410.797831,-1410.812303,-0.01447166,-1410.611761,-1410.627312,-0.015551,3.3991,4.5204,-0.24815,0.19777,-0.08038,0.24836,522.0281982,-2.77779,0.23532,-0.71953,0.82089,-3.89498,32,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
JGVTUAUTAMXVAF-UHFFFAOYSA-N,Cc1cccc2cc(C(=O)O)c(=O)oc12,22.8,-0.952082606,D,14,135.406,204.182,154,-724.9369038,-724.952521,-0.01561726,-724.806778,-724.822576,-0.015798,4.636,6.831,-0.25713,0.17459,-0.10356,0.25734,385.8091125,-2.46396,0.09104,-0.70347,0.8099,-2.46396,23,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
JIAUERZQPRONCY-UHFFFAOYSA-N,CCC(CC)OC(=O)NC(=O)N,9.96,-1.242788812,C,18,137.245,174.2,175.5,-610.4262234,-610.4463377,-0.02011435,-610.248887,-610.269827,-0.02094,5.446,8.0619,-0.27611,0.26054,-0.01761,0.27632,397.6092529,-1.91262,-0.52682,-0.88217,0.95201,-3.50556,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JJSPNRXDWGKSHD-UHFFFAOYSA-N,COc1ccc(c(c1)OC)/N=C/c1ccc(cc1N(=O)=O)N(=O)=O,0.198771,-3.22184875,A,22,217.591,331.285,173,-1194.831173,-1194.848627,-0.01745473,-1194.611793,-1194.63062,-0.018827,8.7765,10.6343,-0.22625,0.14948,-0.12867,0.22646,569.451355,-2.64784,-1.1925,-0.53886,0.50055,-2.05636,37,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
JKFZKHRPJOYSAM-UHFFFAOYSA-N,C(CCNC(=O)N)CC(=O)O,1.22,-2.118229479,B,25,96.742,160.173,178.75,-571.1080488,-571.1302726,-0.022223792,-570.958397,-570.98016,-0.021763,5.8644,7.996,-0.25579,0.26199,-0.01616,0.256,379.6077576,-2.13379,-0.14364,-0.89971,0.83202,-3.72282,23,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JLHPNRSNIVUKGA-UHFFFAOYSA-N,CC(C(=O)O)NC(=O)Nc1cccc2ccccc12,100 g solvent dissolves. 1.08 g Substance.; <alpha-naphthylaminoformyl>-dl-alanine,-1.481419875,C,25,191.411,258.277,199,-877.1828757,-877.1992946,-0.016418932,-876.967401,-876.984623,-0.017222,2.6187,3.8875,-0.20916,0.2278,-0.05035,0.20937,490.9735413,-2.07295,-0.8263,-0.71815,0.83109,-3.41871,33,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JLYXXMFPNIAWKQ-GNIYUCBRSA-N,[C@@H]1([C@@H]([C@H]([C@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)Cl)Cl,100 g solvent dissolves. 6.4 g Substance.,-0.760220113,D,20,146.648,290.832,112.975,-2993.437505,-2993.446222,-0.00871757,-2993.363532,-2993.372473,-0.008941,2.8072,4.1094,-0.30552,0.21409,-0.06406,0.30573,374.6986084,0,-1.65732,-0.28328,0.32218,-0.22915,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JMXNBIDTNISOTA-MRLBHPIUSA-N,C1CCN2C[C@H]3C[C@H](CN4CCC[C@@H]([C@H]34)O)[C@@H]2C1,19.64,-1.10546509,C,17,221.453,250.384,166.25,-771.990755,-771.9984482,-0.00769323,-771.627423,-771.635736,-0.008313,1.4237,2.1378,-0.20226,0.27126,-0.00689,0.20247,462.7035828,-0.80528,-4.4578,-0.80528,0.50879,-1.93816,44,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
JQKCQQVJGSNQFB-WCWDXBQESA-N,CCCC(Cc1ccccc1)/N(=N(\O)/C(CCC)Cc1ccccc1)/O,389.939,0.041390235,E,25,341.427,354.492,109,-1117.409352,-1117.423716,-0.01436376,-1116.964799,-1116.979544,-0.014745,3.9932,5.3724,-0.22948,0.22699,-0.05116,0.22969,682.9344482,-1.24524,-6.76401,-0.68852,0.486,-1.30449,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRQDVRIQJJPHEQ-UHFFFAOYSA-N,c1cc(c(c(c1)[N+](=O)[O-])Cl)C(=O)O,125,-0.207507264,D,25,131.887,201.566,183,-1084.920274,-1084.934102,-0.01382776,-1084.851567,-1084.865491,-0.013924,5.6664,7.6576,-0.28743,0.16888,-0.10927,0.28764,345.7903137,-2.08106,0.12253,-0.71475,0.81931,-1.50337,17,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
JSSSSIRXRJUGAL-UHFFFAOYSA-N,c1ccc(cc1)C(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,0.074,-3.689890553,A,25,272.194,362.345,237,-1252.1905,-1252.206591,-0.01609094,-1251.939519,-1251.956187,-0.016668,8.9682,11.7385,-0.23549,0.16126,-0.11689,0.2357,595.7017212,-1.68961,-2.55047,-0.43716,0.49439,-1.35546,41,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
JTGMTYWYUZDRBK-UHFFFAOYSA-N,Cc1c2ccccc2c(C)c2ccccc12,1.2,-2.235290614,B,20,165.837,206.287,181.25,-618.1711234,-618.1761142,-0.004990876,-617.958559,-617.963704,-0.005145,5.00E-04,9.00E-04,-0.19429,0.20734,-0.07081,0.1945,413.3386536,0,-3.45157,-0.6856,0.25097,0,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
